"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","45/1060","224/9382",0.200892857142857,1.77809130727763,4.20647098788702,7.64188267735398e-05,0.00111601450190966,0.00111601450190966,"3119/208/5293/3560/3135/331/915/7046/10000/6722/6777/5566/3718/1959/3106/51433/3134/2002/4089/3383/8503/5605/4775/4772/3111/8498/2005/5599/821/3122/5728/108/5902/6929/1958/7043/3107/3109/996/107/55697/4790/3113/1385/111",45
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","89/1060","533/9382",0.166979362101313,1.47792488229672,4.05452323658634,7.66493476586307e-05,0.00111601450190966,0.00111601450190966,"9170/3688/5915/1438/208/5293/3560/51426/4040/331/2767/6655/2791/7046/10000/2260/2323/3280/10018/6772/5879/6777/5566/27436/5743/2941/3718/1909/6934/6198/2064/54331/2057/3594/998/2002/4089/23365/5579/8503/5605/5733/5330/7187/862/3910/3908/3563/59345/5599/185/10672/354/3912/405/4313/1288/5728/108/4780/6773/5578/1282/7849/4149/7043/7039/3673/3572/1050/3913/999/4286/107/815/7424/2737/4790/2149/8313/10681/7976/1488/111/5371/9618/1956/8321/51684",89
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","22/1060","86/9382",0.255813953488372,2.26419482229048,4.203188045624,0.00016347633162219,0.00224129905715326,0.00224129905715326,"208/5293/6655/10000/6777/2549/6198/2064/2002/5579/8503/5605/5058/5599/5062/1839/5578/7039/815/2065/9542/1956",22
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","30/1060","134/9382",0.223880597014925,1.98155449169248,4.08419574282617,0.000166250204788841,0.00224129905715326,0.00224129905715326,"2767/4638/3708/5592/5566/94274/1909/148/72/23365/5579/5605/10398/5330/5321/185/10672/59/108/5578/4659/4660/4629/800/3778/2977/5580/107/3779/111",30
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","33/1060","157/9382",0.210191082802548,1.86038937627689,3.87994279890467,0.000283340062635501,0.00368342081426151,0.00368342081426151,"3690/8754/5087/7879/5175/5879/558/23166/5743/65082/2057/961/1788/5605/3988/4775/4772/5777/84868/1432/405/4035/19/7057/55423/714/51761/815/488/51552/102/4240/1385",33
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","11/1060","31/9382",0.354838709677419,3.14065733414486,4.26052007952783,0.000361209349380135,0.0045259314339344,0.0045259314339344,"23743/1244/1719/4548/113235/4524/9376/6573/635/8714/7298",11
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","30/1060","140/9382",0.214285714285714,1.8966307277628,3.8146816373357,0.000373016326972616,0.0045259314339344,0.0045259314339344,"208/5054/4638/2791/3708/7046/10000/5566/6546/6198/54331/9759/4089/22808/5605/7019/5330/5563/59345/185/10672/59/108/1958/999/107/4209/4208/10681/111",30
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","25/1060","110/9382",0.227272727272727,2.01157804459691,3.80866408642588,0.000445092384899363,0.00522624606785059,0.00522624606785059,"64750/4052/3547/6498/3400/7046/91/26585/6198/7027/4089/57817/5519/7037/2014/3398/7057/93/56963/3077/7043/1634/1874/9765/4090",25
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","46/1060","250/9382",0.184,1.62857358490566,3.59506563872975,0.000527893548349034,0.0059311751779057,0.0059311751779057,"58528/200576/9559/80208/7879/1186/23163/65082/54982/3916/2055/1174/11154/8905/7805/1777/3988/4891/55014/1522/3073/114881/9550/8372/20/1075/256471/5007/1513/79036/121260/23062/84335/8992/2760/4286/1508/9583/3920/138050/23431/64121/6609/3423/6556/23545",46
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","22/1060","93/9382",0.236559139784946,2.09377155609657,3.78309513609232,0.000537716430963979,0.0059311751779057,0.0059311751779057,"2767/6655/3708/5566/998/2002/5579/5605/5330/5321/5599/1432/4313/108/1839/5578/1958/5580/107/815/111/1956",22
