"gene_symbol","RankMetric_GSE104645","RankMetric_GSE28702","RankMetric_GSE39582","RankMetric_GSE69657","RankMetric_GSE72970","N_datasets","MetaRankMetric"
"NTN3",0.377834415236135,-1.6736239247996,-0.81256041084818,-0.118268261119135,0.0555671652543032,5,-0.434210203255295
"BPNT1",0.14047233125444,-1.40430606164329,-0.10595950317098,-1.11517689991673,0.313617543897269,5,-0.434270517915857
"KLC3",0.437805993157887,-1.62235441713116,-0.747748423315201,-0.588602256536767,0.349443209906409,5,-0.434291178783767
"SURF6",-0.347288495398629,-0.683091694925315,-0.729387436024282,0.10871032748535,-0.520676322238087,5,-0.434346724220193
"KIAA1656",0.13228734198472,-1.1556725779199,-0.927371764714536,0.389301727972234,-0.610431072394899,5,-0.434377269014475
"LOC100506675",NA,-1.06304340846344,-0.374078840910043,-0.505772348631414,0.205280963509761,4,-0.434403408623785
"ACD",0.159717525026443,-0.945491422644953,-0.943266538681891,-0.147264127734878,-0.295762015830523,5,-0.43441331597316
"NPEPL1",0.130865038740638,-0.440172918785649,-0.51973677475407,-0.261893196264029,-1.08138247793034,5,-0.434464065798689
"RALA",-0.387092115486914,-2.20765672286831,-0.335180158797443,1.21392001779196,-0.456364184826581,5,-0.434474632837457
"MYCNOS",0.373017653214945,-1.5637903397488,-0.2331915141372,-0.0998375366373943,-0.648584960767045,5,-0.434477339615099
"IGLJ3 /// IGLV3-19 /// IGLV3-19",NA,-0.152103443678239,-1.15907817844535,-0.411365413974901,-0.0153626185866386,4,-0.434477413671281
"LOC100505685",NA,-1.47553829852891,0.0544633454852531,0.553858267739073,-0.870800268620409,4,-0.434504238481248
"CNPY4",-0.239919581699354,0.345201783301149,0.775958033641368,-2.35319875285886,-0.700931301349758,5,-0.434577963793092
"LOC100506538 /// NDUFAF6",NA,-0.208748426862293,-0.824227052347377,-0.180774820267079,-0.524602973383449,4,-0.43458831821505
"DHRS12",-1.13947991302277,-0.34560300566962,-0.349353188968966,0.509860508393059,-0.848618650727697,5,-0.434638849999198
"OLAH",1.46550332316368,-1.43639491280478,-0.916716467585758,-0.546672710514266,-0.739215634526387,5,-0.434699280453502
"SLC22A31",-0.00736128562554531,-0.146152085502498,-1.74836205659361,-0.224022522051772,-0.047747840960072,5,-0.4347291581467
"SLC12A8",0.0231112012558896,-0.923799154401136,-0.49491437135862,-0.535731242756748,-0.242610010942914,5,-0.434788715640706
"MATN1",0.320820683546285,-0.59724095172207,-0.412413745585014,-0.959265366271565,-0.525846931861437,5,-0.43478926237876
"LOC729164",NA,0.221172174288368,-0.209733945232773,-0.418663875739532,-1.33221556101628,4,-0.434860301925055
"BSPRY",-0.449199709007317,-0.759569039393765,-0.89571855648564,0.0615346008670375,-0.132646157740879,5,-0.435119772352113
"FLJ31945",NA,-2.34802398623197,0.130925777153132,-0.0570111950891859,0.533618742070001,4,-0.435122665524505
"FAM53A",NA,-1.26064037523061,-0.248368006787931,-0.0828022089890178,-0.148798824725244,4,-0.4351523539332
"CRX",0.660959013945698,-0.0827837571255459,-1.25768582535872,-0.331905410300963,-1.16458861075641,5,-0.435200917919188
"GH1",0.254575669845147,-0.065042520267735,-0.782928489829705,-0.77205635573196,-0.810591832041934,5,-0.435208705605237
"PTGER1",0.534002178492274,-0.612560537113874,-0.866764158614889,-0.569666607617342,-0.661212309733299,5,-0.435240286917426
"ABCC8",-0.145328011866178,-0.797144664029883,-0.803921316219387,0.2423903674171,-0.672387885811404,5,-0.435278302101951
"NFKB2",0.289537159470331,-1.25267945338478,-0.581237877783969,0.430624277766847,-1.06293427523059,5,-0.435338033832432
"ANKRD39",0.0323376243847703,-1.85140630352959,-0.508065290025655,0.0313263649532903,0.118885881626339,5,-0.435384344518169
"TMEM38A",0.0844700183804232,-0.748662025891642,-0.704108686587681,-0.247758699157257,-0.561049092134224,5,-0.435421697078076
"LOC102723886",NA,-0.836056671822498,-0.0846035405177961,0.0437416108301605,-0.864983692913144,4,-0.435475573605819
"C3orf70",-0.420867029434485,-0.325174543664475,-0.31000567782025,-1.51742084203117,0.39602885090867,5,-0.435487848408343
"DACT2",-0.632861900019497,0.159204022463909,-0.968981668613193,-0.0532204752408791,-0.681689542420482,5,-0.435509912766028
"SCN3B",0.307575070249484,-0.807583238836326,0.18685038893592,-1.00148242430506,-0.862964626748751,5,-0.435520966140946
"MAL",-0.615124897862807,-0.804517432068346,0.643102424494204,-1.32594985009476,-0.075229555995721,5,-0.435543862305486
"ZDHHC20",-2.61343398071646,-1.12276425355067,0.747104156471736,0.522753018526984,0.288353381238065,5,-0.435597535606069
"FDPS",-0.0883485143019133,-0.772620047865368,-1.03958598487278,0.0651630245961881,-0.342664554155354,5,-0.435611215319845
"IKBKG",0.18467355940426,-1.60767338384497,0.171568482323731,-0.520916739676882,-0.406354139810112,5,-0.435740444320795
