"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"C0344482","Hypoplasia of corpus callosum",354,0.276991364202594,1.55958796343036,2.87156381382532e-05,0.0057618261827174,0.00523911018468545,2797,"tags=28%, list=16%, signal=24%","80184/1654/196528/26235/8825/11232/284058/80208/374354/11154/64324/94081/29954/160418/79848/56270/10735/9439/93627/5048/85440/51091/5160/1968/51360/1183/4329/55703/122553/22930/79882/8573/4204/7703/673/51663/4841/55780/55636/4774/57531/2261/55005/153241/6601/85021/9326/8575/5277/8924/25942/1496/3736/7707/2218/6651/26005/5116/23556/84942/57492/133686/8239/79147/10617/6872/3796/23394/6249/7430/10916/6605/3192/11128/25914/23126/200205/6509/58478/6683/26227/23043/25793/80232/6812/3480/9255/54664/4297/57176/79731/80150/2560/6328/29899/9895/9915/27286/3799"
"C0014457","Eosinophilia",294,-0.351532917655161,-1.61103030996079,3.60361720511761e-05,0.0069093353879455,0.00628251673210329,5183,"tags=39%, list=29%, signal=28%","2137/3572/79139/10462/4843/3952/49860/84433/7070/3562/2641/3665/1420/7490/3569/3695/8288/26073/2120/7412/5729/2099/1440/6868/10670/5743/596/50616/1233/51371/916/942/4926/5594/3596/4615/1056/920/919/10630/64919/4353/3568/8517/7158/6776/495/915/246778/6361/914/6778/5730/51750/1535/27178/6356/2260/5580/3456/10998/1493/53342/865/201163/3589/1813/6863/3340/5133/3578/7535/7421/283297/2318/10148/3492/25897/8626/2672/2624/3371/4780/11251/60/6238/9466/1437/2625/7965/11332/3601/5322/6352/339345/10663/3177/165140/3280/5595/25/10999/4629/2740/3627/50943/94103/3661/3383/4524/4842/4055/9402/83666/3965/3385"
"C0031099","Periodontitis",597,-0.304582058177166,-1.47402677283351,3.59401555293566e-05,0.0069093353879455,0.00628251673210329,4626,"tags=34%, list=26%, signal=26%","566/11173/26073/23636/1029/10456/5741/960/406934/6425/338322/860/6256/149233/7412/834/2099/406938/7439/130557/1440/23765/9536/8991/6271/6868/841/5627/5880/1513/56479/857/23452/6648/2353/30009/975/5743/153/2027/79581/2068/7409/596/940/26277/3898/4585/9127/54535/282618/2952/55258/57451/50616/1233/64689/7015/9341/2678/5744/4914/8888/5594/3596/4615/3860/58484/177/712/4353/1669/2688/6833/6387/171389/54/6517/3635/6347/154215/54757/105375355/8651/11240/6285/7079/51750/27178/23210/83881/3683/3488/715/5026/7047/5478/50964/3456/3315/4313/10673/1025/3082/1493/796/55974/57823/55065/4240/5786/1823/1234/3589/1520/151534/1822/2669/6863/2056/9437/2696/7421/353/10148/79947/1827/25897/4616/80142/2672/6586/4790/6752/7057/3689/10859/10085/4852/255738/9001/3371/4988/10766/958/5502/8741/11009/55343/4780/10212/1191/7001/2357/3603/10392/6689/2006/2625/5970/682/79650/10439/7965/5293/9423/1994/811/952/8988/716/6352/9436/972/9260/3949/9034/4772/10922/79813/1154/5300/81631/3106/1048/9672/8878/1240/84570/9235/2833/2740/50943/85320/182/84166/3383/9402/6773/2220/197259/9021/6772"
"C2112129","Postaxial foot polydactyly",42,0.53796853602814,2.11975183751541,3.800249703327e-05,0.00712794661745769,0.00648129543224168,2746,"tags=40%, list=16%, signal=34%","80184/91147/79738/79848/123016/51626/57728/51057/64327/153241/652/23322/57545/79659/57560/64093/51259"
"C0024314","Lymphoproliferative Disorders",265,-0.357421639020734,-1.62415498141657,4.49971538176839e-05,0.00826032857742504,0.00751094708629783,5056,"tags=41%, list=29%, signal=30%","10058/2475/407975/2064/84433/27040/11186/3569/6366/2120/5081/10850/1029/50802/960/406934/1746/4654/406938/710/6271/841/1043/3718/975/596/940/7433/930/3050/3574/1233/7015/921/6375/3394/9139/3596/4615/1056/2999/6382/2208/215/23205/84876/8874/3804/8651/57599/6361/3702/6285/6504/9242/51750/200942/2271/1017/10018/10682/10673/3806/10998/1493/10320/6900/1822/2669/7297/6863/2056/5133/867/5296/7535/10148/3492/4790/8832/27352/91851/80380/6367/79971/2625/5293/952/5347/3560/9260/3802/7161/3808/3106/23417/54776/7185/2833/25/50943/4068/3383/4524/4684/3135/83666/9021"
"C0375023","Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site",408,-0.325748099605832,-1.54124170072761,5.66554578158353e-05,0.0101838185423964,0.00925993699783817,4452,"tags=33%, list=25%, signal=25%","57506/7412/834/7538/5729/7405/1440/116071/841/5713/857/2353/5743/596/1811/282618/930/50616/64689/7015/176/10683/3620/9172/5594/4792/3596/4615/1056/3483/177/4045/4353/6776/5579/7132/64221/146713/246778/1364/1869/6347/9670/1394/3434/8874/8651/6361/79132/4586/6778/3002/5730/54498/6356/1395/64135/10432/3456/23476/84941/4313/10673/1025/10998/796/53342/140691/1234/3589/1822/6863/5133/6614/3578/7421/80332/727897/25897/1843/8626/925/4790/7057/10859/27352/958/8741/4780/2100/51477/11251/55349/60/4155/3500/6367/8638/91543/1437/5970/1268/7965/952/9479/6352/28954/9641/6530/4277/1154/5696/3659/3107/3627/50943/54567/84166/1956/3661/6890/3383/5371/4842/4684/9261/9402/5698/6773/6597/3903/197259/83666/9021/6772"
"C0239234","Low set ears",455,0.253454484631282,1.45568723077196,5.97659137083437e-05,0.0105236796627671,0.00956896573293846,2109,"tags=21%, list=12%, signal=19%","28981/3658/1654/114803/91147/79868/7994/64324/100506658/29954/79848/5193/2773/10735/51626/5718/2187/546/5048/51360/51/89970/9702/27152/9731/25836/1909/169792/4204/7703/657/23545/673/4703/55636/4774/1305/6611/2799/3476/1282/57465/55788/2261/8504/3190/153241/9343/3070/5781/6497/5828/55023/6660/8493/545/23322/51114/80144/57724/8726/3643/2218/55012/4649/55784/6651/6662/26005/200894/5116/23556/84942/57492/8239/79147/4893/57545/10617/6872/2033/5332/5728/79796/23394/9698/79600/11128/8516/83737/23126/1028/158/2239/64220/10075/1108"
"C0271737","Addison's disease due to autoimmunity",41,-0.564921491659723,-1.95942732220352,6.17841290771605e-05,0.0106316940354801,0.00966718098314337,2562,"tags=39%, list=14%, signal=33%","64135/1493/1234/5133/7421/354/7052/2625/84636/326/4772/4277/3106/4261/3627/50943"
"C0023493","Adult T-Cell Lymphoma/Leukemia",477,-0.316893362581704,-1.5133980774513,6.28438103627125e-05,0.0106316940354801,0.00966718098314337,4593,"tags=34%, list=26%, signal=26%","26073/3181/9825/64236/10850/9048/1029/5741/960/26160/7412/406938/199731/50859/6271/2217/841/1043/3718/857/2353/201161/6362/1880/7409/596/940/26277/917/598/1236/3050/3574/1958/1233/64689/7015/921/942/1982/5744/3394/5594/3596/4899/79400/919/467/64919/286/10573/4791/8427/3958/10611/6776/915/5579/7132/246778/5335/59286/6347/57794/9961/8651/51540/6285/11076/51517/3683/1017/415116/9709/680/3456/4313/1025/3082/28639/1493/6887/5786/6900/5894/1822/60489/267/5133/3578/7535/353/6490/3492/1791/25897/8626/4185/2672/4790/3004/7057/4017/3689/4035/10533/93986/60/3603/6367/2668/3297/2625/5970/7965/5293/952/2626/6709/7293/81605/56996/4940/9446/3560/5708/3344/50615/7161/10663/1154/5777/5300/3106/8837/6598/3726/25/2740/50943/182/5609/2934/1956/977/3661/5141/3383/4524/1032/4842/4684/3621/2355/1874/3727/7014/6622/9402/6597/3965/6772"
"C0339143","Thyroid associated opthalmopathies",186,-0.388801048853967,-1.70311958783448,6.52318210816563e-05,0.0108234644671641,0.00984155389719807,4839,"tags=40%, list=27%, signal=30%","7070/3562/9370/3569/54106/960/57506/149233/7412/5304/7538/406938/26027/2353/5743/596/940/930/1381/3574/50616/942/7253/5594/3596/4615/25992/1020/6347/6422/3488/2260/64135/6373/4313/10673/1493/5947/9564/5133/6489/7421/353/10148/10278/4790/6752/3111/958/8741/4780/60/4155/3603/5293/6050/1200/6352/326/3949/8720/3106/2794/43/5595/408/4283/3107/3627/50943/1201/3383/4524/9021/6772"
"C4025814","Abnormality of the metaphysis",89,0.403393101564331,1.84992144822012,6.88853621435607e-05,0.0110508922637308,0.0100483493206434,2546,"tags=29%, list=14%, signal=25%","9321/23512/538/64324/51626/57728/6885/64327/55636/2261/153241/5781/6497/6729/8726/23592/5116/10060/4952/79659/2182/57560/9949/3981/64421/126792"
"C1857679","Sloping forehead",136,0.359408049770842,1.76033422686125,6.91641379510275e-05,0.0110508922637308,0.0100483493206434,3416,"tags=33%, list=19%, signal=27%","80184/91147/83990/22995/100506658/79848/10735/51132/2187/57697/546/1968/9702/51057/8573/2074/23141/545/23322/57122/163786/3736/1911/5116/84942/57545/10617/10060/25914/79648/26227/701/1781/6812/3981/10733/55120/51259/1062/672/55215/2178/63894/26276/7518"
"C0266200","Microcolon",11,-0.8015700197215,-2.00786029440179,7.27275601466936e-05,0.0114089707081031,0.010373942694226,2008,"tags=64%, list=11%, signal=56%","25802/6663/60/4000/4638/4629/72"
"C4023915","Abnormally low-pitched voice",14,0.753028819680197,2.17201924304148,8.37790263373502e-05,0.0129079542721189,0.0117369376558698,2796,"tags=57%, list=16%, signal=48%","23512/64324/25836/55869/9126/8726/4297/27286"
"C1865060","Molar tooth sign on MRI",34,0.568173558050326,2.13333582278022,8.63358091648348e-05,0.0130685151135824,0.0118829323306651,1834,"tags=35%, list=10%, signal=32%","80184/317662/91147/79848/9731/153241/9851/23322/26005/200894/57545/79600"
