"Gene","HR","HR_lower","HR_upper","p_value"
"PHOX2A",0.659,0.292,1.489,0.316246
"GPR3",0.612,0.228,1.641,0.328876
"MNX1",0.884,0.526,1.486,0.641662
"HIST1H3E",0.696,0.406,1.195,0.18885
"GYS2",1.123,0.672,1.877,0.657624
"CYP21A1P",0.863,0.382,1.952,0.723557
"FBXW4P1",0.931,0.435,1.995,0.854372
"UPK1A",0.84,0.446,1.582,0.590404
"EPX",1.245,0.578,2.682,0.575961
"NHLH1",0.856,0.41,1.789,0.679548
"CYP11B2",1.145,0.732,1.792,0.552934
"ZBTB33",1.343,0.726,2.485,0.34755
"HIST1H4I",1.064,0.46,2.463,0.88419
"CLDN9",1.112,0.576,2.148,0.752058
"CALCB",1.104,0.804,1.517,0.540114
"OSM",0.941,0.646,1.372,0.751723
"HOXA1",0.899,0.666,1.213,0.486278
"COL4A3",0.98,0.231,4.151,0.977921
"HIST1H2AK",1.376,0.391,4.843,0.619459
"DRD1",1.15,0.374,3.542,0.807128
"MYO1C",1.715,0.977,3.012,0.060481
"MIR612",1.195,0.899,1.588,0.220637
"NOP14",0.93,0.563,1.535,0.775809
"WDR43",0.879,0.62,1.247,0.470435
"SPRYD7",1.091,0.722,1.648,0.68003
"USP19",0.834,0.347,2.003,0.684564
"MUC3B",0.884,0.601,1.301,0.532175
"PKD1P1",1.143,0.695,1.879,0.598117
"CLK1",1.185,0.874,1.606,0.275562
"ZNF266",1.091,0.764,1.557,0.632403
"TAF1B",0.78,0.441,1.378,0.391481
"FAM63B",1.404,0.915,2.154,0.120128
"NBPF26",1.645,0.978,2.766,0.060721
"MIR22",1.185,0.929,1.511,0.170762
"RIF1",1.099,0.489,2.469,0.819457
"MAN2B2",1.401,0.783,2.506,0.256177
"CCNB1",0.78,0.632,0.964,0.021476
"ZNF394",0.756,0.35,1.632,0.475777
"BMP2K",1.507,0.751,3.023,0.248594
"PKI55",0.865,0.505,1.479,0.595199
"SLC46A3",1.067,0.826,1.377,0.620419
"CDC42EP4",1.01,0.498,2.049,0.976896
"NOTCH2NL",1.246,0.902,1.72,0.182179
"ANKRD36",0.777,0.386,1.565,0.48031
"SBSPON",1.096,0.9,1.333,0.361366
"TWISTNB",0.931,0.585,1.482,0.762016
"YIPF1",0.911,0.503,1.649,0.757896
"IPCEF1",0.935,0.51,1.716,0.829379
"CEP131",0.762,0.374,1.549,0.452087
"PLCH1",0.375,0.16,0.879,0.024005
"ARMCX6",2.211,0.955,5.115,0.063815
"PLAC4",0.672,0.173,2.614,0.565894
"ZNF468",1.049,0.768,1.433,0.761432
"UAP1L1",0.941,0.664,1.335,0.734079
"PMS2P2",1.064,0.635,1.783,0.814876
"DCAF4",0.248,0.103,0.599,0.001928
"ZNF337",0.912,0.574,1.447,0.695095
"ZNF423",1.172,0.914,1.503,0.209772
"ATP6V1G2",1.416,0.609,3.292,0.419042
"RRP15",0.904,0.629,1.3,0.586908
"NAAA",0.849,0.572,1.261,0.417259
"AHCTF1",0.861,0.559,1.327,0.498301
"HSPB6",1.026,0.794,1.326,0.842241
"KIAA1549L",1.389,0.721,2.676,0.326282
"TOX3",0.797,0.594,1.068,0.128562
"N4BP3",0.844,0.274,2.6,0.766956
"MEGF8",1.406,0.651,3.038,0.385913
"MAP3K1",1.011,0.58,1.763,0.968503
"DDN",0.614,0.29,1.297,0.200639
"CDK18",1.005,0.626,1.615,0.983176
"SNORD10",1.102,0.787,1.541,0.572149
"PLXDC2",1.236,0.967,1.578,0.090147
"LOC100294145",1.146,0.466,2.818,0.766503
"RIMBP2",3.936,1.589,9.747,0.00306
"FAAP24",0.409,0.212,0.788,0.007539
"UNC13A",1.825,0.964,3.456,0.064886
"IQSEC2",0.955,0.41,2.224,0.91529
"BRINP2",1,0.36,2.778,0.999973
"ZNF204P",0.94,0.678,1.303,0.710387
"FAM155A",1.657,1.219,2.252,0.001261
"SLC38A6",1.119,0.803,1.559,0.508257
"PWAR5",0.816,0.19,3.5,0.78484
"SFT2D2",1.051,0.466,2.374,0.903912
"TOM1L2",1.104,0.414,2.945,0.842721
"CNIH3",1.626,0.922,2.866,0.092849
"ALPK3",1.025,0.757,1.389,0.872208
"KCTD20",1.138,0.649,1.996,0.651052
"PP14571",1.835,0.944,3.568,0.073618
"TET1",1.137,0.504,2.562,0.757162
"DOT1L",0.366,0.131,1.024,0.055615
"ZSWIM8-AS1",0.841,0.385,1.836,0.664088
"PIWIL1",1.018,0.753,1.376,0.909119
"LOC102724993",1.179,0.829,1.675,0.359282
"LOC100287590",0.404,0.192,0.85,0.016873
"LRP5L",1.022,0.496,2.106,0.952605
"TUBGCP5",1.337,0.701,2.549,0.377404
"LOC101929740",0.944,0.429,2.077,0.886702
"KAT8",0.942,0.406,2.184,0.88888
"FAM149A",0.863,0.654,1.14,0.300436
"LINC01314",0.893,0.379,2.108,0.796927
"ZNF780B",0.448,0.14,1.43,0.17516
"ZNF8",0.58,0.285,1.18,0.132804
"SYT2",0.775,0.362,1.658,0.511264
"CEACAM21",1.191,0.512,2.772,0.685504
"ADAMTS3",1.473,0.689,3.149,0.318077
"ZNF362",2.258,0.987,5.166,0.053673
"KCNMA1",1.097,0.719,1.675,0.667662
"ZNF484",0.951,0.358,2.525,0.919896
"SLITRK5",1.01,0.366,2.787,0.984514
"IL4I1",0.847,0.47,1.524,0.578579
"LRCH1",1.505,0.905,2.502,0.114924
"SMG6",2.052,0.661,6.373,0.213519
"RBM34",0.411,0.142,1.189,0.100837
"LOC101930363",0.827,0.238,2.875,0.765629
"FAM105A",0.946,0.708,1.264,0.708257
"SLC26A10",1.806,0.837,3.896,0.131926
"SUSD5",1.668,0.843,3.301,0.141649
"TMPRSS6",0.373,0.113,1.235,0.106424
"ACTL8",0.862,0.534,1.392,0.544192
"SPATA2L",0.545,0.31,0.957,0.034771
"PPFIA4",0.469,0.183,1.202,0.11499
"TTTY15",1.099,0.742,1.626,0.638238
"PLEKHA5",1.768,0.894,3.497,0.101451
"APOBEC3F",0.98,0.485,1.981,0.954987
"SCAI",0.685,0.327,1.435,0.31541
"NPIPA5",1.003,0.608,1.653,0.991829
"DGCR9",1.82,0.577,5.738,0.306494
"NECAB2",0.426,0.181,1,0.05001
"THAP9-AS1",0.951,0.738,1.225,0.697282
"BRSK2",0.479,0.201,1.139,0.095824
"SNHG3",0.931,0.652,1.329,0.692573
"BICDL1",1.369,0.593,3.16,0.462162
"FNBP1L",0.961,0.683,1.354,0.821912
"ZNF528",1.164,0.629,2.154,0.629139
"IGLV6-57",0.675,0.39,1.168,0.159557
"LINC01140",1.535,0.738,3.194,0.251806
"RNASEH2B",1.204,0.615,2.353,0.588192
"GUSBP3",0.81,0.537,1.221,0.313789
"TRIM58",1.07,0.516,2.22,0.85605
"ZNF280B",0.953,0.582,1.561,0.849087
"FRMPD4",1.121,0.35,3.59,0.846981
"DENND5B",0.873,0.395,1.932,0.738144
"METTL10",0.86,0.439,1.686,0.660824
"LRRC40",1.01,0.557,1.832,0.973121
"HIST1H2AC",1.028,0.834,1.267,0.796977
"GRB2",1.084,0.436,2.695,0.862039
"LOC100129518",0.844,0.627,1.137,0.264541
"KIAA1024",2.294,1.169,4.5,0.01575
"LRRC42",1.102,0.678,1.79,0.695157
"SPICE1",0.736,0.398,1.36,0.327738
"ADTRP",0.987,0.853,1.143,0.86238
"DPY19L1P1",1.223,0.669,2.235,0.512898
"NRIP2",1.108,0.555,2.212,0.772216
"N4BP2L2-IT2",0.901,0.374,2.166,0.814985
"TTC22",0.595,0.329,1.074,0.084855
"RC3H1",1.192,0.676,2.099,0.543916
"BMS1P21",0.56,0.232,1.353,0.19764
"TSC22D1",2.305,1.049,5.068,0.037691
"MCF2L2",0.243,0.038,1.573,0.137645
"SENP3-EIF4A1",0.981,0.6,1.604,0.939284
"DNM1",1.646,1.007,2.691,0.046937
"RAG2",2.792,0.452,17.235,0.268923
"ZNF550",1.271,0.754,2.143,0.368401
"PIK3C2G",0.529,0.205,1.364,0.187456
"LOC102725213",0.594,0.157,2.257,0.444851
"EXOSC8",0.92,0.64,1.322,0.651499
"HYPM",0.817,0.369,1.811,0.619225
"DPY19L2P2",0.708,0.341,1.471,0.354606
"CNTNAP2",0.947,0.688,1.304,0.738518
"YOD1",0.917,0.625,1.346,0.658587
"DOCK10",1.23,0.705,2.146,0.466318
"WDR61",0.976,0.404,2.36,0.957027
"FRG1CP",0.897,0.563,1.429,0.648228
"CAMK1G",0.333,0.106,1.047,0.05999
"IGSF9B",0.946,0.341,2.62,0.914337
"SLC35E2B",1.914,1.066,3.436,0.029593
"CEP152",1.072,0.508,2.259,0.855423
"PTPN20",1.108,0.808,1.518,0.525456
"DNAAF1",0.536,0.196,1.467,0.224912
"FMO6P",0.484,0.15,1.564,0.22506
"LINC00963",1.536,0.863,2.734,0.144857
"LOC55338",0.572,0.111,2.948,0.504449
"LOC100509764",1.485,0.785,2.808,0.223984
"PMS2P4",1.445,0.556,3.753,0.450007
"REPS1",0.953,0.372,2.438,0.919651
"NUS1",0.757,0.464,1.233,0.263344
"DLST",0.706,0.456,1.092,0.117795
"RRN3P1",0.617,0.314,1.209,0.159227
"NUP54",0.772,0.217,2.749,0.690103
"LOC100129973",0.28,0.057,1.369,0.115882
"PRKAG2",0.589,0.264,1.314,0.19613
"ZNF273",1.037,0.667,1.611,0.871947
"ANO3",0.926,0.457,1.874,0.830051
"DGCR5",0.918,0.327,2.579,0.871514
"LOC100288570",1.191,0.577,2.461,0.636761
"EMC3",0.969,0.42,2.236,0.94083
"ZXDB",1.365,0.605,3.08,0.453305
"EMX1",1.059,0.362,3.101,0.916842
"SLC8A2",1.725,0.768,3.877,0.186778
"KIAA0754",1.595,0.854,2.977,0.142724
"LFNG",1.263,0.759,2.1,0.368917
"TNN",1.156,0.37,3.616,0.802604
"LINC00667",0.936,0.605,1.447,0.766729
"TRPC2",0.403,0.132,1.231,0.110644
"ZNF749",0.357,0.106,1.204,0.096913
"PGAP2",0.471,0.263,0.844,0.01141
"LOC441204",0.797,0.138,4.618,0.80005
"LOC105377443",0.702,0.194,2.536,0.589531
"LOC257152",1.126,0.509,2.491,0.76933
"ZNF529",1.222,0.698,2.142,0.483162
"ZNF549",0.909,0.28,2.943,0.872892
"MINOS1P1",0.989,0.719,1.361,0.948222
"SPATA31C2",0.659,0.227,1.914,0.443847
"RUNDC3B",1.021,0.823,1.267,0.849291
"LONRF1",1.541,0.869,2.734,0.138723
"LUZP2",1.99,0.831,4.764,0.122461
"SEMA3D",4.199,1.534,11.496,0.005235
"EFR3B",3.931,1.063,14.527,0.040151
"MYH15",0.366,0.121,1.107,0.07499
"MED24",0.389,0.16,0.946,0.037233
"CCDC88C",0.68,0.36,1.287,0.236247
"BTBD18",0.616,0.239,1.592,0.317428
"GIMAP1-GIMAP5",0.937,0.495,1.774,0.840813
"GIMAP5",1.363,0.573,3.239,0.483428
"PELP1",0.91,0.565,1.467,0.69849
"TDRD12",0.72,0.388,1.339,0.299689
"ZNF37BP",1.817,0.98,3.369,0.058116
"KIAA1614",0.695,0.294,1.641,0.406769
"MED27",0.781,0.334,1.826,0.567818
"IGLV1-44",0.85,0.65,1.111,0.234419
"GGCT",0.757,0.494,1.161,0.201596
"SPG21",1.828,0.622,5.373,0.272998
"CFHR1",1.087,0.901,1.311,0.381251
"PRSS3P2",0.885,0.615,1.273,0.509613
"ADGRV1",1.813,0.32,10.28,0.501507
"PMS2P8",1.178,0.592,2.344,0.640395
"STOML2",0.74,0.458,1.194,0.217058
"EXOC6B",1.168,0.465,2.934,0.740293
"ZFR2",0.319,0.073,1.4,0.129888
"IHH",0.881,0.668,1.161,0.367837
"LOC100131510",0.55,0.195,1.557,0.260274
"GK2",0.72,0.232,2.233,0.56906
"ACSM1",1.137,0.333,3.876,0.837646
"BEX4",1.203,1.004,1.441,0.045425
"TSPO2",0.738,0.37,1.473,0.388635
"SUMO4",1.284,0.625,2.639,0.495812
"ZNRF4",0.75,0.294,1.91,0.546009
"OR7E24",0.239,0.063,0.907,0.035427
"ABCA12",0.776,0.455,1.324,0.351494
"GTF2H2B",0.861,0.572,1.296,0.472906
"KIAA0509",1.607,0.687,3.756,0.273565
"PRPS1L1",0.794,0.282,2.231,0.661332
"FAM27B",0.596,0.203,1.749,0.345967
"WDTC1",1.441,0.598,3.472,0.415132
"DUSP10",0.994,0.746,1.323,0.966084
"SPINT3",1.214,0.368,3.998,0.750318
"ANKRD10-IT1",1.203,0.867,1.667,0.268411
"DIRAS3",0.879,0.549,1.407,0.590079
"ETV2",0.798,0.4,1.593,0.522548
"HYMAI",0.994,0.71,1.392,0.971706
"LAMB4",0.496,0.073,3.391,0.474866
"PYGO1",0.942,0.189,4.694,0.942076
"SORCS3",1.202,0.292,4.952,0.799181
"KHDRBS2",1.119,0.504,2.486,0.782446
"ZNF492",0.918,0.425,1.986,0.828641
"AGPAT1",1.496,0.833,2.684,0.177261
"HLA-DQB2",1.136,0.705,1.83,0.600446
"SCFD1",1.201,0.578,2.496,0.624316
"MTRF1L",0.488,0.17,1.4,0.182395
"LOC101929272",0.847,0.587,1.221,0.373163
"FCF1",0.71,0.336,1.504,0.371307
"GTF2IRD2B",0.816,0.377,1.768,0.606683
"ZNF780A",0.797,0.425,1.494,0.479032
"ACVR2B-AS1",0.804,0.363,1.78,0.589845
"ERV9-1",0.846,0.444,1.613,0.610818
"LTN1",1.414,0.766,2.61,0.267608
"LOC101929165",2.353,0.707,7.836,0.163317
"GUSBP9",0.877,0.68,1.131,0.310833
"LOC102724197",1.628,0.97,2.732,0.065019
"SPATS2L",1.442,0.75,2.772,0.272164
"PHF7",0.516,0.163,1.639,0.262048
"TSC2",1.429,0.696,2.933,0.330939
"LOC101928669",0.922,0.368,2.308,0.861474
"LOC101926913",1.052,0.569,1.942,0.872222
"BRMS1",0.639,0.373,1.096,0.103993
"NEUROG2",0.894,0.372,2.15,0.80216
"LINC00675",0.782,0.533,1.148,0.209803
"GSDMB",0.635,0.383,1.053,0.078613
"EPHA5",0.902,0.167,4.875,0.904741
"PLXNB1",1.118,0.559,2.236,0.753155
"LOC440792",0.709,0.246,2.043,0.524487
"LUNAR1",1.177,0.309,4.481,0.811156
"KIAA1654",1.209,0.375,3.898,0.75117
"ASCC2",0.874,0.505,1.511,0.628748
"SHBG",0.746,0.343,1.621,0.459099
"DDX27",0.792,0.55,1.141,0.211123
"SPATA5L1",0.806,0.468,1.389,0.436972
"SEC16A",1.255,0.792,1.987,0.333485
"FLG",2.9,0.444,18.938,0.266035
"IGFALS",0.967,0.61,1.534,0.88784
"PHF3",1.134,0.54,2.383,0.739181
"LOC100293211",0.88,0.553,1.399,0.588595
"DGCR11",0.981,0.468,2.059,0.960138
"LOC102725292",0.771,0.484,1.227,0.272186
"KCNV1",0.683,0.316,1.476,0.332502
"LINC00563",1.433,0.515,3.983,0.490667
"LOC100130741",0.855,0.361,2.027,0.722003
"AKAP8L",1.026,0.301,3.495,0.966668
"GORASP1",0.79,0.262,2.384,0.67546
"RBM26",1.175,0.554,2.493,0.673597
"LINC01136",1.417,0.544,3.689,0.475654
"ANKRD53",0.751,0.246,2.289,0.614452
"ZNF804A",1.202,0.565,2.558,0.633578
"OR7E2P",1.36,0.322,5.742,0.675312
"INSRR",0.534,0.221,1.291,0.163775
"HAB1",0.609,0.268,1.381,0.234863
"RAB40AL",1.855,0.721,4.775,0.200139
"CYFIP2",0.926,0.632,1.357,0.695045
"CFAP74",0.888,0.248,3.181,0.854824
"MTMR7",13.93,1.488,130.386,0.02098
"MYH7B",1.011,0.471,2.171,0.978236
"TRAV8-3",0.378,0.128,1.113,0.077494
"CXorf57",1.658,0.873,3.148,0.122076
"CYP2D6",0.896,0.307,2.617,0.840559
"SLC6A10PB",0.893,0.687,1.16,0.394748
"NUDT7",0.637,0.362,1.123,0.118752
"RLIM",1.183,0.679,2.064,0.552615
"ZNF835",0.727,0.343,1.541,0.40491
"CROCCP3",1.814,0.605,5.439,0.287968
"DNAH2",0.615,0.243,1.558,0.30572
"GUCA1B",0.661,0.225,1.941,0.451433
"LOC101930458",1.073,0.522,2.207,0.848356
"CFAP70",1.608,0.644,4.014,0.308687
"SIGLEC15",1.519,1.014,2.277,0.042748
"NCLN",0.168,0.061,0.464,0.000574
"SYT12",0.651,0.239,1.772,0.401102
"LOC101927770",0.958,0.365,2.512,0.93014
"UBQLN2",1.542,0.973,2.446,0.065361
"ZNF440",0.781,0.3,2.032,0.611774
"PTGDR",0.43,0.22,0.84,0.013526
"SNRNP40",0.809,0.591,1.107,0.185946
"Igk",0.688,0.328,1.444,0.323285
"RAD21L1",0.197,0.019,2.053,0.174478
"CD72",1.093,0.753,1.585,0.640993
"ARFGEF2",0.747,0.468,1.192,0.221376
"LINC00837",0.139,0.025,0.776,0.024476
"MAGEC2",0.767,0.286,2.061,0.598996
"SPATA31A5",0.766,0.312,1.879,0.560697
"LINC01361",4.309,0.511,36.322,0.179306
"KIAA1661",0.92,0.329,2.568,0.873325
"IGLL3P",0.926,0.776,1.104,0.390301
"LOC100287852",0.69,0.387,1.23,0.20784
"SMG7-AS1",0.516,0.123,2.173,0.367116
"SLC5A4",0.6,0.188,1.916,0.388527
"RPL3",1.27,0.465,3.466,0.640853
"GK3P",0.9,0.64,1.263,0.541138
"LOC100130331",0.848,0.313,2.294,0.745369
"HCG4B",0.674,0.209,2.176,0.509854
"ZNF721",1.125,0.655,1.93,0.669504
"IGHMBP2",0.42,0.107,1.651,0.214063
"LOC100505534",0.73,0.193,2.759,0.642454
"UBXN8",1.074,0.77,1.498,0.673214
"HCG8",0.904,0.248,3.287,0.877814
"CBX2",0.707,0.339,1.476,0.355829
"PRAMEF12",0.279,0.099,0.79,0.016243
"SLC39A9",0.489,0.203,1.177,0.110413
"RNF5",1.125,0.476,2.66,0.788248
"POLE",0.635,0.372,1.081,0.094343
"SEMG2",0.8,0.372,1.721,0.568735
"ZNF280A",0.729,0.256,2.076,0.553459
"PRINS",0.858,0.411,1.791,0.682577
"CYP2C19",1.141,0.577,2.255,0.704129
"HBBP1",0.573,0.218,1.504,0.25832
"ANKRD34C",0.341,0.086,1.349,0.12505
"FAM205BP",0.346,0.064,1.854,0.215064
"OBSCN",1,0.377,2.65,0.999846
"HTR7P1",1.552,0.356,6.759,0.55854
"PHLDB1",0.951,0.387,2.335,0.912865
"LOC145678",0.459,0.156,1.353,0.157869
"LOC100129503",1.431,0.621,3.296,0.400137
"LOC105373738",0.764,0.217,2.685,0.67453
"NCKIPSD",0.44,0.151,1.282,0.132375
"CELSR3-AS1",1.5,0.597,3.769,0.388259
"SPEF1",0.752,0.374,1.512,0.423709
"LOC101929597",0.812,0.297,2.219,0.684132
"LRRC37BP1",0.44,0.18,1.073,0.070967
"SBNO1",0.712,0.283,1.789,0.46947
"HCRP1",2.474,1.193,5.131,0.014904
"TRDV3",0.669,0.343,1.304,0.237651
"LINC00939",0.928,0.342,2.519,0.883385
"CPN2",0.721,0.345,1.505,0.383762
"TAF4B",0.697,0.443,1.096,0.117744
"LOC105379655",1.263,0.46,3.466,0.64999
"SLC2A14",1.176,0.962,1.437,0.113668
"PVT1",0.775,0.325,1.849,0.565368
"LPXN",1.284,0.762,2.166,0.348118
"GRM8",0.945,0.732,1.22,0.665516
"LOC100506699",0.647,0.272,1.538,0.324786
"TGIF2",0.876,0.635,1.207,0.417676
"LAMB2",1.425,1.053,1.927,0.02162
"TMEM115",0.807,0.433,1.501,0.497538
"ZNF460",1.059,0.258,4.346,0.937037
"ADAM3A",1.258,0.192,8.269,0.810897
"CYSLTR1",1.3,0.712,2.375,0.393427
"ADGRD2",0.893,0.539,1.477,0.658458
"XRCC3",0.609,0.344,1.076,0.087381
"HNRNPCL4",0.737,0.346,1.568,0.427823
"TAOK1",1.316,0.688,2.518,0.406264
"OVOL3",0.801,0.3,2.135,0.656838
"PCDHB17P",0.17,0.033,0.872,0.033625
"GK6P",0.864,0.566,1.318,0.497047
"IGHA2",1.047,0.834,1.315,0.690837
"HDAC3",0.69,0.348,1.367,0.28729
"CYP2A7P1",0.87,0.29,2.604,0.80275
"YIPF3",0.997,0.596,1.668,0.990688
"SEC14L3",0.988,0.278,3.516,0.985104
"PPP1R13B",0.987,0.617,1.579,0.955803
"ZNF10",1.387,0.656,2.933,0.392214
"MUC7",0.426,0.106,1.715,0.229796
"TAPT1",1.837,0.414,8.149,0.423907
"LOC220077",0.5,0.142,1.764,0.28117
"KLHL1",0.508,0.101,2.556,0.41157
"C10orf12",0.871,0.29,2.62,0.8061
"LOC100510710",0.941,0.365,2.428,0.900127
"MLIP",0.88,0.67,1.155,0.356313
"SEC14L4",1.244,0.767,2.019,0.37627
"SP3P",0.527,0.191,1.455,0.216233
"ATXN8OS",0.67,0.197,2.285,0.522496
"VAC14",0.634,0.244,1.652,0.351486
"OR2B2",0.251,0.059,1.073,0.06222
"HOXB9",1.064,0.838,1.351,0.610442
"TMEM92-AS1",0.821,0.33,2.042,0.671104
"KIR3DX1",0.308,0.075,1.263,0.10186
"TTC38",0.887,0.41,1.921,0.761624
"TMSB4X",2.077,0.691,6.242,0.192776
"HSP90B1",0.862,0.578,1.286,0.466296
"ZNF287",0.441,0.07,2.777,0.383158
"LOC101927181",0.411,0.147,1.143,0.088481
"PQLC3",1.116,0.405,3.073,0.831939
"DDR1-AS1",1.186,0.419,3.357,0.747508
"ZNF682",1.427,0.748,2.723,0.280797
"LOC102725136",1.837,0.519,6.506,0.346001
"GRIP2",2.124,1.045,4.319,0.037378
"MYDGF",0.57,0.328,0.99,0.046165
"LOC101927086",0.422,0.155,1.154,0.092821
"LOC102723620",0.862,0.356,2.091,0.74323
"MIR1244-3",0.507,0.189,1.36,0.177552
"BRCC3",0.842,0.599,1.185,0.324221
"OR2B6",0.961,0.276,3.35,0.949941
"YY2",0.669,0.306,1.465,0.314749
"OR7E19P",2.627,1.007,6.852,0.048286
"ATXN3L",0.522,0.114,2.4,0.403859
"GS1-600G8.3",0.833,0.234,2.957,0.776842
"HMGB3P1",0.75,0.486,1.157,0.193136
"TBC1D22B",0.423,0.138,1.299,0.132849
"KIR2DS4",0.843,0.336,2.111,0.714766
"SOX5P1",0.522,0.159,1.707,0.281888
"IGLL5",0.559,0.303,1.032,0.062957
"FABP3P2",0.482,0.166,1.403,0.180862
"FOXL1",1.488,0.763,2.902,0.243563
"RPEL1",0.821,0.536,1.257,0.363751
"GJB4",1.405,0.676,2.918,0.362078
"POM121L2",0.522,0.217,1.257,0.147265
"UNGP2",0.973,0.381,2.487,0.95437
"MIR4683",1.649,1.006,2.702,0.047199
"GNAT3",0.286,0.081,1.009,0.051675
"MAGEC3",0.78,0.213,2.86,0.707309
"CCL2",1.009,0.845,1.205,0.921673
"AOC4P",0.913,0.411,2.031,0.824102
"DKFZP434A062",0.765,0.25,2.343,0.639419
"HTR3A",1.82,0.68,4.87,0.232827
"MAG",1.442,0.616,3.376,0.399277
"LOC101927446",0.718,0.329,1.566,0.404866
"HLA-DPA2",1.628,0.546,4.85,0.381513
"DSCC1",0.764,0.448,1.303,0.322966
"LOC1720",0.481,0.084,2.769,0.412497
"MYO7B",1.102,0.506,2.4,0.805865
"LOC101929148",0.548,0.142,2.112,0.382138
"MGAM2",4.932,1.793,13.562,0.00199
"ECRP",1.48,0.55,3.978,0.43748
"MUC8",0.674,0.217,2.091,0.494547
"TTTY1B",1.872,0.707,4.962,0.207126
"KIR3DL3",0.578,0.25,1.338,0.200578
"ZNF154",0.191,0.047,0.78,0.021124
"OR7C1",0.94,0.341,2.594,0.90449
"PRODH2",0.826,0.427,1.598,0.570059
"OR7E12P",0.805,0.458,1.416,0.451476
"KLK1",0.838,0.665,1.056,0.134067
"C1orf68",0.782,0.284,2.151,0.633295
"TAF1",1.479,0.657,3.33,0.345097
"SLC25A30",1.341,0.427,4.208,0.615375
"LINC00302",0.546,0.143,2.083,0.375644
"RAB11FIP4",0.533,0.285,0.996,0.04869
"VENTXP1",1.07,0.241,4.745,0.928711
"DCLK2",1.816,0.468,7.053,0.388848
"TM6SF2",0.769,0.316,1.87,0.562572
"PYHIN1",0.938,0.315,2.793,0.908588
"OSBPL10",0.971,0.271,3.483,0.964193
"HRASLS2",0.586,0.283,1.212,0.149677
"LOC101926997",1.493,0.317,7.038,0.612671
"USP53",0.924,0.651,1.311,0.657962
"CYLC1",0.734,0.11,4.905,0.749649
"FAM224A",0.176,0.036,0.873,0.033508
"LOC100289518",0.562,0.141,2.237,0.413532
"FLJ23519",1.063,0.37,3.049,0.910108
"MIR622",0.993,0.481,2.051,0.985769
"KRTAP4-7",0.784,0.148,4.146,0.774293
"LOC100505874",0.808,0.425,1.536,0.51556
"LOC101929047",0.901,0.302,2.687,0.851015
"GDF11",0.948,0.376,2.386,0.909261
"IL23A",0.504,0.144,1.759,0.282441
"ATP8B2",1.428,0.988,2.065,0.05815
"LOC100505498",0.432,0.069,2.69,0.368666
"PRB4",1.243,0.576,2.682,0.578836
"IGHG1",0.289,0.109,0.764,0.012347
"FAM76A",0.956,0.445,2.052,0.907215
"MICU1",1.267,0.605,2.651,0.529979
"ARHGEF4",0.946,0.282,3.176,0.927823
"KRT35",1.799,0.528,6.128,0.347961
"FCGR1CP",1.121,0.883,1.423,0.34739
"FCGR1A",0.3,0.08,1.131,0.07545
"LMNB2",0.662,0.466,0.939,0.020837
"ZNF133",0.91,0.564,1.468,0.698579
"ZNF224",0.997,0.495,2.009,0.993855
"RUNX2",2.155,0.872,5.325,0.096071
"MKRN2",0.351,0.139,0.886,0.026654
"ADAM5",1.376,0.315,6.018,0.671801
"PGK2",0.828,0.327,2.099,0.690969
"GBX1",0.879,0.377,2.052,0.766093
"AZGP1P1",1.342,0.914,1.969,0.133047
"TMEM212",0.84,0.37,1.91,0.678206
"LOC101929550",0.633,0.279,1.436,0.274199
"KRT84",0.65,0.212,1.991,0.450578
"FOXD4L1",1.275,0.636,2.554,0.493588
"LOC101928457",1.306,0.404,4.223,0.656202
"ELK2AP",0.481,0.218,1.062,0.070121
"RDH11",0.732,0.352,1.522,0.403621
"NCR2",0.413,0.109,1.563,0.192881
"SHC1P1",3.061,0.82,11.433,0.096085
"DIAPH2-AS1",1.076,0.335,3.459,0.901709
"MUC3A",0.813,0.452,1.465,0.491394
"TRBV16",2.083,0.722,6.012,0.174805
"DMPK",1.127,0.591,2.151,0.716659
"IGHV3-75",0.768,0.229,2.578,0.669563
"AMACR",0.762,0.362,1.603,0.473237
"MKRN7P",0.479,0.192,1.197,0.1154
"PMCHL1",0.632,0.107,3.734,0.612853
"UBBP2",0.501,0.24,1.046,0.065845
"PPIAL4C",0.231,0.062,0.861,0.029084
"UBBP1",0.868,0.497,1.519,0.620835
"TRAT1",0.987,0.593,1.641,0.958303
"HADHAP1",1.03,0.471,2.255,0.940837
"PTGER4P2-CDK2AP2P2",0.53,0.185,1.52,0.237769
"TSPY1",0.863,0.283,2.632,0.795553
"BMS1P20",0.569,0.372,0.872,0.009696
"SPC24",0.66,0.308,1.414,0.285136
"ZNF259P1",0.951,0.472,1.915,0.88831
"PRDM1",1.386,0.913,2.102,0.125311
"GCNT1P1",0.63,0.267,1.485,0.290724
"LOC100420758",0.49,0.226,1.064,0.071284
"BTNL3",0.888,0.646,1.221,0.466433
"ACTBP9",0.923,0.575,1.483,0.741585
"LOC100287387",1.056,0.299,3.727,0.932704
"LOC101060373",1.429,0.782,2.612,0.246082
"MAST1",0.62,0.298,1.288,0.200009
"ADAM3B",1.057,0.441,2.533,0.901514
"LOC101930405",0.82,0.528,1.274,0.378283
"LOC102723479",0.619,0.363,1.056,0.078395
"TTTY2B",0.851,0.399,1.814,0.675933
"RPL15",1.192,0.494,2.877,0.695459
"PRAMEF10",1.424,0.635,3.196,0.391355
