"Gene","HR","HR_lower","HR_upper","p_value"
"ZNF570",1.527,0.764,3.051,0.230846
"NUDT9P1",0.927,0.253,3.393,0.908251
"BTBD16",1.29,0.709,2.346,0.404324
"RTP3",0.611,0.233,1.605,0.317269
"TSPEAR",0.812,0.178,3.705,0.788219
"MIPOL1",0.803,0.341,1.892,0.61617
"C6orf141",0.929,0.631,1.367,0.706862
"ALMS1P1",0.556,0.199,1.554,0.262759
"MYO3B",0.206,0.036,1.187,0.077052
"ADAM21",0.607,0.126,2.914,0.532866
"TRIML2",1.429,0.675,3.022,0.35094
"ABCC13",0.853,0.556,1.307,0.464182
"IL12RB1",0.658,0.294,1.469,0.306844
"GTF2A1L",3.314,0.851,12.908,0.084092
"TRPV3",0.846,0.273,2.626,0.77263
"CNBD1",1.453,0.314,6.715,0.632739
"ABCC12",1.345,0.296,6.109,0.700739
"MMP21",0.836,0.167,4.192,0.82712
"TMEM190",0.972,0.364,2.593,0.954735
"GAS2L2",0.741,0.294,1.871,0.526551
"KCNG4",1.037,0.372,2.891,0.944263
"PXT1",0.548,0.125,2.392,0.423357
"CACNG5",1.064,0.326,3.472,0.918234
"LINC00308",0.678,0.175,2.629,0.574224
"FAM223A",1.032,0.43,2.472,0.944484
"WFDC11",0.5,0.162,1.543,0.228127
"IFNL3",0.81,0.254,2.58,0.721069
"JAK1",2.309,0.954,5.59,0.063497
"CDC42SE2",0.925,0.651,1.316,0.666127
"ACACB",0.931,0.459,1.889,0.844059
"RFWD2",0.702,0.399,1.236,0.2202
"STX6",0.705,0.315,1.581,0.396573
"ANLN",0.917,0.738,1.141,0.437376
"SPRR4",0.971,0.501,1.881,0.93102
"UPK3BL",1.362,0.875,2.12,0.171293
"HSH2D",0.433,0.23,0.818,0.009876
"TRNT1",0.861,0.543,1.365,0.523474
"TMEM163",1.076,0.77,1.504,0.667024
"ARHGAP5",1.021,0.638,1.635,0.931302
"HERPUD2",1.285,0.777,2.125,0.328791
"JMJD6",0.881,0.377,2.057,0.769533
"SRCAP",0.531,0.143,1.979,0.346072
"MAP3K6",1.269,0.625,2.575,0.509118
"ARSG",1.435,0.582,3.543,0.433051
"ZNF101",0.583,0.306,1.11,0.100492
"PTPN11",0.746,0.427,1.306,0.305163
"KLHDC7B",0.924,0.549,1.553,0.764552
"ATAD3B",1.008,0.445,2.283,0.985178
"ZNF626",1.312,0.254,6.775,0.745438
"PHC3",1.286,0.566,2.923,0.548222
"IL11RA",1.224,0.566,2.649,0.607399
"TNFRSF10A",1.17,0.792,1.73,0.429797
"RAD51L3-RFFL",0.383,0.203,0.723,0.003064
"HPS4",1.246,0.566,2.741,0.584634
"UHMK1",1.165,0.763,1.779,0.480041
"TXNDC2",0.488,0.153,1.552,0.224183
"NAV3",1.834,0.736,4.571,0.192781
"C5orf22",0.755,0.435,1.308,0.315827
"PCDHGB7",0.39,0.066,2.296,0.297948
"ERC1",1.652,0.877,3.111,0.120339
"FLCN",1.409,0.491,4.038,0.523818
"JMJD1C-AS1",0.88,0.381,2.032,0.763921
"LRRC7",0.509,0.033,7.855,0.628987
"SH2D3C",1.521,0.735,3.144,0.258095
"PPP1R3B",1.113,0.643,1.926,0.70197
"SLC9A7",1.011,0.644,1.587,0.962283
"IGSF3",0.401,0.129,1.244,0.113685
"RFX6",0.564,0.287,1.108,0.096501
"DIRC1",1.394,0.247,7.857,0.706275
"DNAJB7",1.083,0.196,5.993,0.926941
"UCN3",1.448,0.687,3.052,0.330695
"DIP2A",1.628,0.335,7.925,0.545876
"USP28",0.544,0.312,0.947,0.031527
"KNL1",0.963,0.501,1.85,0.909788
"SENP8",1.011,0.558,1.83,0.972145
"GRHL1",0.972,0.708,1.333,0.858545
"CNBD2",1.211,0.274,5.351,0.800276
"CASKIN1",0.624,0.172,2.265,0.472905
"CACNA2D4",1.567,0.776,3.166,0.210434
"ARL11",1.18,0.767,1.813,0.451324
"SLC2A13",0.884,0.5,1.564,0.672797
"NIPA1",1.174,0.7,1.969,0.542415
"TUBA3FP",0.631,0.219,1.818,0.393701
"CARD16",1.036,0.728,1.475,0.843219
"DUSP19",0.932,0.236,3.687,0.920339
"CYB5D1",0.775,0.497,1.207,0.258693
"NMNAT2",1.037,0.575,1.871,0.90356
"SLC4A1",1.143,0.317,4.119,0.838519
"CREG2",1.454,0.506,4.175,0.48662
"RXFP1",0.883,0.147,5.313,0.891576
"SPEF2",0.399,0.127,1.255,0.115956
"CEP170P1",1.319,0.893,1.947,0.164212
"DTD1",1.129,0.647,1.971,0.66835
"CASC4",2.15,0.76,6.082,0.149189
"FGF1",2.03,0.821,5.022,0.125543
"ARPP21",0.272,0.013,5.824,0.404743
"RHOXF1",0.829,0.294,2.341,0.723763
"ADAMTS17",0.511,0.184,1.417,0.197137
"SNORA17B",0.797,0.397,1.601,0.524419
"DHH",0.555,0.179,1.72,0.307535
"ABRA",0.574,0.079,4.173,0.58315
"KLHDC1",2.257,0.82,6.215,0.11522
"RICTOR",1.155,0.719,1.857,0.55056
"PCDHGA4",1.578,1.216,2.046,0.00059
"NETO1",0.847,0.118,6.093,0.868712
"WWP2",0.19,0.069,0.519,0.001204
"ST7L",0.908,0.351,2.354,0.843279
"C2orf15",0.51,0.275,0.946,0.032586
"KCNH8",1.193,0.928,1.534,0.168907
"MCF2L",1.54,0.561,4.229,0.402022
"SLCO6A1",0.802,0.253,2.546,0.708128
"PP2D1",0.607,0.13,2.829,0.525191
"KLC3",0.732,0.245,2.189,0.576713
"CIB3",1.078,0.34,3.42,0.898038
"CADM2",0.975,0.127,7.475,0.980219
"C9orf66",0.507,0.163,1.577,0.240579
"HDAC9",1.927,0.813,4.567,0.136311
"SLC16A11",1.068,0.448,2.543,0.882622
"TMEM67",0.233,0.056,0.958,0.043392
"HS6ST2",0.907,0.788,1.045,0.178526
"CAMKK1",1.132,0.387,3.312,0.821407
"ZNF625",0.65,0.175,2.411,0.519179
"ZNF563",1.161,0.583,2.309,0.671203
"LIN9",0.201,0.051,0.792,0.021792
"CLEC4D",0.194,0.041,0.912,0.037776
"SLC25A27",1.4,0.817,2.399,0.220557
"GPRC6A",0.593,0.245,1.431,0.244787
"RAET1E",0.521,0.176,1.539,0.238016
"SLC44A5",1.224,0.876,1.71,0.236056
"ZNF417",0.882,0.46,1.693,0.705619
"ZNF781",4.849,0.65,36.195,0.123709
"HELB",1.455,0.482,4.398,0.506016
"SEC62",1.239,0.792,1.937,0.347655
"TRDN",6.986,0.81,60.237,0.076983
"SOCS4",1.045,0.643,1.697,0.859102
"C8orf31",0.755,0.255,2.23,0.610561
"ZNF547",1.067,0.255,4.468,0.928817
"SIM1",1.526,0.218,10.693,0.670255
"PROM2",1.07,0.581,1.969,0.828459
"TLR4",1.406,1.045,1.891,0.024204
"TSNARE1",0.55,0.213,1.419,0.216224
"CAPN13",0.793,0.492,1.278,0.340768
"STMN1",0.937,0.462,1.897,0.855689
"SIGLEC10",1.017,0.648,1.595,0.942949
"RFX4",1.314,0.18,9.587,0.787519
"WFIKKN1",0.912,0.389,2.136,0.831601
"SENP1",1.048,0.583,1.885,0.875511
"KLF14",0.629,0.18,2.192,0.466351
"NXNL2",1.39,0.293,6.601,0.67845
"BRS3",0.547,0.142,2.107,0.380351
"LINC00205",2.019,0.9,4.531,0.08852
"TMX3",1.368,0.764,2.448,0.291675
"ZNF396",0.478,0.068,3.354,0.457883
"SLC26A7",2.618,0.277,24.732,0.401022
"SNX18",2.052,1.108,3.797,0.02216
"FBXO39",2.447,0.584,10.251,0.220753
"B3GNT6",0.828,0.625,1.096,0.187286
"DENND1B",1.149,0.721,1.829,0.559146
"ZNF619",0.648,0.305,1.375,0.258101
"ICK",0.744,0.296,1.871,0.529169
"FAM71D",1.304,0.34,4.992,0.698583
