"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe","Direction"
-0.346113012613054,5.46349167707113,-3.77019070023631,0.000225715503048465,0.216029441644086,0.260656692063371,"212575_at","down"
-0.352706506930669,7.63180275989441,-3.76597153724379,0.000229257605480299,0.216029441644086,0.248249951698919,"204949_at","down"
-0.340223273773504,6.79991575145178,-3.74800734868946,0.000244936623585274,0.219813124194671,0.195552531347698,"203816_at","down"
0.312933860951363,6.60305234760169,3.73060989516023,0.000261084216900239,0.223654234168269,0.144714876425317,"203855_at","up"
-0.274540921693766,8.96708047572617,-3.6862712490515,0.000306911383894566,0.225859112791227,0.016032850147135,"216483_s_at","down"
0.535067890208739,5.41754934970382,3.68165155220286,0.000312100774799508,0.225859112791227,0.00269838703669478,"242052_at","up"
-0.255809135757683,8.74642086738285,-3.6790213527366,0.00031509224093981,0.225859112791227,-0.0048873405458183,"202785_at","down"
0.314521576190439,5.39756594568322,3.67797545373297,0.000316289306737457,0.225859112791227,-0.00790255965163222,"219338_s_at","up"
0.457229671429693,7.4546038942622,3.65891263429927,0.000338874384170157,0.225859112791227,-0.0627343342167546,"226282_at","up"
-0.246719012662033,8.16854297716263,-3.65769286481404,0.00034037017101256,0.225859112791227,-0.0662348103375097,"201937_s_at","down"
0.415823244125882,5.50053547810351,3.65190801446106,0.000347549308656775,0.225859112791227,-0.0828229082782093,"228121_at","up"
0.266720088959771,6.61156732968055,3.62421527355149,0.000383940487735045,0.232904416003375,-0.161929984926589,"226580_at","up"
0.365096299512914,4.83145455829436,3.62344615199999,0.00038500073364089,0.232904416003375,-0.164119912991178,"236034_at","up"
0.305323579162415,5.42978136805071,3.61377607574256,0.000398568814691629,0.232904416003375,-0.191620615893402,"225735_at","up"
0.41529908745641,6.54325873734172,3.60735648963959,0.000407823714746438,0.232904416003375,-0.209843455593401,"203884_s_at","up"
0.503568576433753,6.23436470939787,3.5883887072468,0.000436366289329907,0.241875267315042,-0.263528130706567,"213156_at","up"
-0.400780310257729,5.32562476343809,-3.56564763949937,0.000473066858677652,0.254726229103972,-0.327580659817305,"231606_at","down"
0.679730434860744,6.1466889181604,3.54871135273688,0.000502266244405663,0.257920225689228,-0.375061954689819,"206115_at","up"
-0.308183367684116,6.82707171819085,-3.54640573375011,0.000506369964475297,0.257920225689228,-0.38151116170452,"224966_s_at","down"
-0.286626611125793,6.42940185809317,-3.52010623323053,0.000555466200509328,0.268259054153185,-0.454826302175221,"215519_x_at","down"
0.345466806105871,5.78279769467616,3.5136029046368,0.000568278714513429,0.268259054153185,-0.472884901943552,"226497_s_at","up"
-0.445343315773756,7.29076553525833,-3.50395002726971,0.000587809184723927,0.268259054153185,-0.499637426543408,"226474_at","down"
-0.27333517255136,5.96687381678625,-3.50299504193044,0.000589775285136692,0.268259054153185,-0.502280757588347,"226796_at","down"
-0.27687563778384,6.03775541526253,-3.49910914780739,0.000597839343862559,0.268259054153185,-0.513030374394512,"210008_s_at","down"
-0.265182493099345,6.51538378068482,-3.47405545934657,0.000652368980616595,0.278822326825288,-0.582095203801696,"213724_s_at","down"
0.232346372520431,9.26463465094297,3.46964800260852,0.000662431903209745,0.278822326825288,-0.594201778434888,"211285_s_at","up"
0.353920909842225,7.78743408540798,3.46661113145283,0.00066945009980925,0.278822326825288,-0.602536016890753,"208861_s_at","up"
-0.401958724786292,6.83231277211106,-3.45240838106887,0.00070320829645913,0.278822326825288,-0.641431397391074,"205639_at","down"
0.305188072175273,5.56955321245033,3.44836945541316,0.000713095936877071,0.278822326825288,-0.652467639786418,"205198_s_at","up"
-0.281561185624495,8.65682139065233,-3.44794342798943,0.000714146453580423,0.278822326825288,-0.653631109043503,"200612_s_at","down"
0.438418968571491,5.54327002169575,3.43774588347436,0.00073972916237976,0.278822326825288,-0.681443974144958,"213419_at","up"
0.302157501009722,7.97952870725677,3.43774212702708,0.000739738742505806,0.278822326825288,-0.681454206644963,"212653_s_at","up"
0.298628261779904,7.48412380733897,3.42684283145008,0.000768030280856828,0.281010408231196,-0.711103772528342,"218501_at","up"
-0.272008262018408,6.19561637141133,-3.42407831237747,0.000775365659982074,0.281010408231196,-0.718611445562734,"207485_x_at","down"
-0.2800248769055,6.3814057831859,-3.41077634318235,0.000811587688717227,0.283928896079256,-0.754663976450586,"219690_at","down"
-0.343240368730432,7.93383001720955,-3.40926080901092,0.000815813638290547,0.283928896079256,-0.758763984698742,"223743_s_at","down"
-0.322277497223001,6.19112710899989,-3.40163370715345,0.000837395694991235,0.283928896079256,-0.779374230019891,"216969_s_at","down"
0.915035993134052,5.78237365892021,3.3973448330445,0.000849765264266541,0.283928896079256,-0.790946538508823,"204733_at","up"
0.437539807838969,7.4468490286514,3.39426705078461,0.000858747059138149,0.283928896079256,-0.799243401135141,"202908_at","up"
-0.231487100808103,9.25487605862675,-3.38040236343024,0.000900320208818199,0.291908214625976,-0.836539396805016,"221739_at","down"
