"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","stouffer_z","stouffer_p","stouffer_fdr","mean_logfc"
"CKLF",0.0956228114980373,0.73705717688083,"up",0.0133813084626792,0.910924949307971,"up",-0.0480053818749741,0.607570837040872,"down",-0.151832094416799,0.233898064212022,"down",-0.0826187387442549,0.371836778147472,"down",5,2,3,"down",0.6,-0.841878817964914,0.399855787991809,0.860034916679296,-0.0346904190150623
"AQP6",0.0781000599323453,0.68622387702726,"up",-0.190363390755453,0.30913516045677,"down",-0.0432399592171889,0.628049820328766,"down",-0.0891891982426347,0.539883704618655,"down",-0.0187441032384773,0.675388356758661,"down",5,1,4,"down",0.8,-0.841864625596069,0.399863732962129,0.860034916679296,-0.0526873183042817
"FBXW4P1",-0.0323452511118716,0.8379376029804,"down",0.10469147645361,0.393848974290918,"up",0.000342483642195988,0.995570877374588,"up",-0.0765531459606742,0.376211328226215,"down",0.0714429258043842,0.153517845436094,"up",5,3,2,"up",0.6,0.841855131193089,0.399869048036928,0.860034916679296,0.0135156977655289
"RAB3IL1",0.0873550929049442,0.536928252512957,"up",-0.121117541463951,0.270105339198325,"down",0.0198290832665623,0.861487910011587,"up",0.0686658009080767,0.535594792051434,"up",-0.10196191937352,0.102089528098865,"down",5,3,2,"up",0.6,-0.8417222708632,0.39994342921774,0.860034916679296,-0.00944589675157756
"TRHR",0.0422638033482911,0.873226266215403,"up",-0.016641185003429,0.876501714373944,"down",0.0232090435130714,0.686151964765431,"up",0.0648992990057754,0.330911997882972,"up",-0.0890710502775445,0.0226590873647849,"down",5,3,2,"up",0.6,-0.841659566494067,0.399978536829786,0.860034916679296,0.00493198211723288
"ITGB5",-0.0570433571680303,0.582233169559372,"down",-0.249338787824136,0.154768233368201,"down",-0.152217920380335,0.169747937306615,"down",-0.248795635306065,0.101747150993251,"down",0.10242047291392,0.061085938203092,"up",5,1,4,"down",0.8,-0.841537705623261,0.400046770934284,0.860034916679296,-0.120995045552929
"SUSD4",0.20553288268351,0.37022875995346,"up",-0.140297718839548,0.11142358068444,"down",0.0694590926112405,0.25434140679804,"up",-0.217215108708587,0.0771876008828241,"down",0.0649587366150796,0.10036094399902,"up",5,3,2,"up",0.6,0.841508840133053,0.400062934742934,0.860034916679296,-0.00351242312766098
"CHRM3-AS2",NA,NA,NA,-0.153001179504907,0.231587583941093,"down",-0.0433288543864084,0.464905696901384,"down",0.06677238352935,0.419016611632738,"up",-0.0116572653983845,0.72717985837944,"down",4,1,3,"down",0.75,-0.841491058722293,0.400072891995006,0.860034916679296,-0.0353037289400875
"TNRC6A",-0.434909810003692,0.0704781864546766,"down",0.120835305196812,0.144138843178087,"up",0.106279732478386,0.249030426909844,"up",-0.0951834316250224,0.171603073370076,"down",-0.074216832775211,0.148483717283704,"down",5,2,3,"down",0.6,-0.8414691329189,0.400085170233311,0.860034916679296,-0.0754390073457455
"ADARB2-AS1",0.0425284596313762,0.839670633301281,"up",-0.0171323051602725,0.823176904079812,"down",0.0614546719709121,0.266665899030284,"up",0.0026070676570451,0.967422400428083,"up",0.0239027839777514,0.618937459051362,"up",5,4,1,"up",0.8,0.841442998573573,0.400099805510414,0.860034916679296,0.0226721356153625
"LOC728196",NA,NA,NA,0.0824891044245562,0.70150048406188,"up",0.00761121663661669,0.812190146842174,"up",0.0600593867868378,0.578745444441214,"up",0.0209158764586491,0.439614019731798,"up",4,4,0,"up",1,0.84141122213199,0.400117600804423,0.860034916679296,0.042768896076665
"RTN4RL2",0.124691061457969,0.476748385726606,"up",-0.127760184976427,0.532755648792397,"down",-0.00174818666110094,0.967351686086244,"down",0.0523800103824279,0.603838501671575,"up",-0.0600301437659393,0.0683442911854059,"down",5,2,3,"down",0.6,-0.841378928919333,0.400135685985619,0.860034916679296,-0.00249348871261407
"LOC102723409",NA,NA,NA,-0.0334160699051014,0.850506206013454,"down",-0.0292280932403081,0.497065801795336,"down",-0.0273054893388633,0.71072852128488,"down",-0.0179145207549972,0.544350145695644,"down",4,0,4,"down",1,-0.841340142520707,0.400157408197966,0.860034916679296,-0.0269660433098175
"RAP2A",-0.138742562804791,0.686061572444594,"down",-0.321738914793786,0.0508225348139769,"down",-0.175880183718345,0.1352174018762,"down",0.293311187634014,0.141984546030625,"up",0.124833238030231,0.364620314836499,"up",5,2,3,"down",0.6,-0.841178517728979,0.400247933334622,0.860034916679296,-0.0436434471305354
"NKAIN2",0.0544203864965279,0.771799590807141,"up",0.0998298468257044,0.458385869716428,"up",-0.0431307639698729,0.364569749565475,"down",-0.143961867712543,0.166265394668305,"down",-0.112687961387671,0.380514206506577,"down",5,2,3,"down",0.6,-0.841169941952436,0.40025273692269,0.860034916679296,-0.0291060719495709
"TOMM40L",-0.173229335362313,0.319482518604134,"down",-0.23870239567591,0.147202951338385,"down",0.0150981302540008,0.836660609719214,"up",-0.0764147954323465,0.622720586925117,"down",0.0336976992432481,0.689456123919907,"up",5,2,3,"down",0.6,-0.841127204425898,0.400276676201198,0.860034916679296,-0.0879101393946641
"NARS",-0.0688825232718284,0.770703418482615,"down",0.10825016791417,0.236636434771467,"up",-0.0569410533812051,0.438954526811763,"down",0.141621158870769,0.356818417743372,"up",0.0833454870317063,0.242877451443404,"up",5,3,2,"up",0.6,0.841025511703975,0.400333642489724,0.860034916679296,0.0414786474327224
"FOXC1",0.119549935973744,0.554072063549539,"up",-0.312574345078708,0.231696470972604,"down",-0.133965298540067,0.548534649086585,"down",0.231884245829039,0.194195849882489,"up",0.316923234996767,0.0695714503487225,"up",5,3,2,"up",0.6,0.840827830034388,0.40044439386443,0.860034916679296,0.044363554636155
"CPED1",-0.26465378865827,0.130993181042127,"down",0.13033376585914,0.206296263663965,"up",-0.204235557329191,0.158475839506565,"down",-0.960685789674737,0.00284699940714873,"down",0.230182831319374,0.171205509316527,"up",5,2,3,"down",0.6,-0.840824279499254,0.400446383223982,0.860034916679296,-0.213811707696737
"APOA4",0.102659159834454,0.734209923054394,"up",0.183245416032992,0.311179557048898,"up",-0.0503606143864407,0.688399721264797,"down",0.070333943096215,0.210625677336424,"up",-0.147577035224164,0.00741659897127499,"down",5,3,2,"up",0.6,-0.840803745117694,0.400457888723918,0.860034916679296,0.0316601738706113
"UIMC1",-0.275398291084484,0.319990585558267,"down",-0.0283485854717659,0.741478492373667,"down",-0.0623146099899494,0.288495509143707,"down",0.0437045064486066,0.633923821997879,"up",0.0159487079925227,0.771027117104564,"up",5,2,3,"down",0.6,-0.840751458637036,0.40048718595476,0.860034916679296,-0.061281654421014
"ADGRE5",0.0659399645201423,0.614642670430113,"up",-0.32903236792936,0.00857516794381311,"down",0.0552535934816279,0.481204931610095,"up",-0.102294306249516,0.636117036006406,"down",-0.0346712414009695,0.655248178121557,"down",5,2,3,"down",0.6,-0.840748596405734,0.400488789761216,0.860034916679296,-0.0689608715156151
"GTF3C2-AS1",NA,NA,NA,-0.0575775305864843,0.730294914191507,"down",0.0949825129130127,0.123598332066762,"up",-0.172778668490419,0.17636665769827,"down",-0.0704203086748908,0.0450900953765489,"down",4,1,3,"down",0.75,-0.840717074549067,0.400506452794926,0.860034916679296,-0.0514484987096954
"CTNNAL1",-0.189861270176011,0.281896330322669,"down",-0.109394505702013,0.458172531448115,"down",0.198416018717688,0.0299699277542252,"up",0.0356340802577431,0.871796546093335,"up",0.0948481330000163,0.340766437086312,"up",5,3,2,"up",0.6,0.840519266309275,0.400617303829394,0.860034916679296,0.00592849121948467
"WFIKKN2",0.221876975285893,0.353307354049652,"up",-0.0305143292049032,0.819606017328657,"down",0.0343094551022047,0.506765724706879,"up",-0.0618751466245009,0.266952593668796,"down",-0.0971448787199966,0.0278995592861636,"down",5,2,3,"down",0.6,-0.840501960092632,0.400627003048545,0.860034916679296,0.0133304151677394
"POU2F3",0.211739361952338,0.253727711696182,"up",-0.178066055373145,0.468903862330263,"down",-0.0450891950828604,0.271374170524595,"down",0.0405075933693761,0.510810006480974,"up",-0.0381087215749075,0.21317456654463,"down",5,2,3,"down",0.6,-0.840450198972275,0.400656013261022,0.860034916679296,-0.00180340334183976
"GS1-279B7.1",NA,NA,NA,-0.0853685673558988,0.245551970826831,"down",0.0262898589883694,0.562406934097592,"up",-0.0122759235148233,0.880412633769223,"down",-0.0417253895234294,0.270848883699944,"down",4,1,3,"down",0.75,-0.840429835082676,0.400667426821349,0.860034916679296,-0.0282700053514455
"IKZF1",0.275861457150974,0.0957532526105801,"up",0.218561672969583,0.226599674100748,"up",-0.10967204313482,0.174038548157614,"down",-0.120534153665558,0.16685985958106,"down",-0.0700912556344072,0.0503318629080026,"down",5,2,3,"down",0.6,-0.840185432293543,0.40080442502674,0.860034916679296,0.0388251355371544
"GFI1B",0.100853563489904,0.56690057326393,"up",-0.0334742070026328,0.787618662741963,"down",0.0851865413099409,0.118930798103936,"up",-0.0925200723959675,0.13838939335432,"down",-0.126862563853966,0.0126657759791088,"down",5,2,3,"down",0.6,-0.840108187332217,0.400847729979216,0.860034916679296,-0.0133633476905443
"ARC",0.205969106727935,0.213575118518995,"up",-0.231450783447274,0.0414431549407115,"down",0.0650099146850261,0.43811709762544,"up",-0.0106605470001833,0.874859862030391,"down",0.117607804990251,0.194091040725653,"up",5,3,2,"up",0.6,0.840099632983664,0.400852525877909,0.860034916679296,0.029295099191151
"LOC101927826",NA,NA,NA,-0.106915230021157,0.47191225937947,"down",0.04925524564875,0.36058830092484,"up",0.238256860654631,0.212262567860842,"up",-0.150542377204233,0.0212252809217669,"down",4,2,2,"tie",0.5,-0.840085871897763,0.400860240947281,0.860034916679296,0.00751362476949775
"LINC00479",0.0258230869270923,0.893993764997057,"up",-0.0121885056244971,0.913703474966567,"down",0.0260009011515022,0.70349209277394,"up",-0.00197595217599618,0.970136915765422,"down",0.0491533959294701,0.254817667905441,"up",5,3,2,"up",0.6,0.840050611285951,0.400880010002558,0.860034916679296,0.0173625852415143
"HADH",0.0324954893927557,0.882298344887306,"up",-0.130874614001041,0.180349459389838,"down",0.03127308575386,0.78308964837746,"up",0.402296461890464,0.0196943908509209,"up",-0.213359077440303,0.058292759462489,"down",5,3,2,"up",0.6,-0.839845061564435,0.400995264236865,0.860034916679296,0.0243662691191471
"PLEKHH1",0.0973472886625365,0.625324235566027,"up",0.250664907175271,0.182062476563105,"up",0.0531953720995558,0.709169245617082,"up",0.292882823295513,0.0592502283975354,"up",-0.123453383814597,0.317770291600939,"down",5,4,1,"up",0.8,0.839781636820261,0.401030831281212,0.860034916679296,0.114127401483656
"ZBTB42",NA,NA,NA,0.173541443939335,0.349816390932742,"up",0.206057008051116,0.0528872892600222,"up",-0.157392987625339,0.305163965228226,"down",-0.038442393357772,0.672125965296002,"down",4,2,2,"tie",0.5,0.839724784111403,0.401062714499164,0.860034916679296,0.045940767751835
"RGMB",0.0453509858456955,0.864308533491777,"up",-0.43023508671495,0.147280969677443,"down",0.224766774987186,0.264270055449215,"up",-0.241214100020292,0.389798934337971,"down",-0.239606952657504,0.230013901516275,"down",5,2,3,"down",0.6,-0.839686084183977,0.401084418438147,0.860034916679296,-0.128187675711973
"SRSF5",-0.095878349530765,0.707769804834649,"down",0.123286404655417,0.208252464993366,"up",-0.0862819355425031,0.292419881709947,"down",0.103282710861668,0.158427536800631,"up",0.0989606139758191,0.224546481813187,"up",5,3,2,"up",0.6,0.839571554997929,0.401148653555496,0.860034916679296,0.0286738888839272
"LOC101927460",NA,NA,NA,-0.127868634043458,0.219632912439111,"down",0.0233963821900417,0.717894154907328,"up",0.0386999773986875,0.700225691099809,"up",-0.0335892734421,0.274986278410524,"down",4,2,2,"tie",0.5,-0.839432885158806,0.401226436525135,0.860034916679296,-0.0248403869742072
"NARR",NA,NA,NA,-0.151984140477274,0.467724443509682,"down",-0.183654802784802,0.190042753199693,"down",-0.823699973334809,0.0119136504112854,"down",0.187389505586927,0.212929370432276,"up",4,1,3,"down",0.75,-0.839428411857306,0.401228945849318,0.860034916679296,-0.24298735275249
"ITPKA",0.193408177920114,0.215529914290512,"up",-0.0299661292594877,0.895449600021196,"down",0.00868144493565936,0.941793160067889,"up",0.0630468481897316,0.637521408071789,"up",-0.337881658523453,0.00723947184495271,"down",5,3,2,"up",0.6,-0.83941046292412,0.40123901450129,0.860034916679296,-0.0205422633474871
"LRRC71",-0.155443264013594,0.434009000814517,"down",0.0493036436852414,0.74275188059392,"up",0.0581444089996703,0.505942179648188,"up",-0.000793613938512799,0.990773974962222,"down",-0.103920702480196,0.100274080391527,"down",5,2,3,"down",0.6,-0.839380615275412,0.401255758204809,0.860034916679296,-0.0305419055494782
"SLCO2A1",0.112046081681699,0.454884912103772,"up",-0.234788153887777,0.317443380098526,"down",0.056453842188377,0.68851176824098,"up",-0.29930421688137,0.350283749473144,"down",0.240164688627854,0.103566808607757,"up",5,3,2,"up",0.6,0.839376970845795,0.401257802657535,0.860034916679296,-0.0250855516542434
"C2orf49",-0.213395732393656,0.219068487938526,"down",0.286981868405738,0.000151001141991821,"up",-0.110382206653472,0.196733945357605,"down",0.095775872494015,0.330393410101063,"up",0.0527549027352592,0.605564109446414,"up",5,3,2,"up",0.6,0.839295501514795,0.401303506968773,0.860034916679296,0.0223469409175768
"FGF7",-0.389730391993969,0.222321980216588,"down",0.0922263634956457,0.623032721504024,"up",-0.108137085464149,0.233222553193432,"down",-1.06205852113984,0.018352455846022,"down",0.0899346563236989,0.221402964590194,"up",5,2,3,"down",0.6,-0.839255182957204,0.401326126843814,0.860034916679296,-0.275552995755723
"TMEM105",0.0588878289356052,0.785596552697635,"up",-0.108112178909982,0.151513532169156,"down",0.00282084100943107,0.97514249110462,"up",-0.0408614667458166,0.799436860112916,"down",-0.0280495012945779,0.542167569216389,"down",5,2,3,"down",0.6,-0.839158659165878,0.401380282587582,0.860034916679296,-0.023062895401068
"CC2D1B",-0.27524738029086,0.271418086864573,"down",0.277920612430428,0.0223614864992158,"up",0.0666716640819651,0.265067093352004,"up",-0.269788836593011,0.175735613962693,"down",0.0224025816727576,0.701315196361164,"up",5,3,2,"up",0.6,0.839148619551604,0.401385915676397,0.860034916679296,-0.0356082717397441
"NFX1",-0.0344492491796644,0.827110716783328,"down",0.221976489463017,0.0198462163919543,"up",-0.101000935399587,0.214444272621166,"down",-0.0461584801916542,0.51580869171606,"down",0.0785233973772922,0.17164707882325,"up",5,2,3,"down",0.6,0.838966111021076,0.401488326963318,0.860034916679296,0.0237782444138807
"XAF1",0.062471413676315,0.67682508028649,"up",-0.0439050950795562,0.847917322233986,"down",-0.132589788340095,0.482428551460595,"down",-0.171638716616724,0.516010328609121,"down",-0.112102536264724,0.420125191777243,"down",5,1,4,"down",0.8,-0.838940352778273,0.401502781987805,0.860034916679296,-0.0795529445249568
