"gene_symbol","stouffer_z","stouffer_p","stouffer_fdr"
"CEP152",3.43954317206357,0.00058269684006786,0.162319682400108
"MED28",3.42860700937022,0.000606687313748446,0.164466824439935
"CSNK1G2",-3.42762045607852,0.000608896103067801,0.164466824439935
"FARP2",-3.42332571681018,0.000618599054304137,0.164466824439935
"GPR174",-3.42262003905085,0.000620207061924766,0.164466824439935
"SH2D1A",-3.42010433737124,0.00062597121883631,0.164466824439935
"NDRG3",-3.41333160490404,0.000641738044626503,0.166238347692584
"SEMA6D",-3.41106627509986,0.000647093607211304,0.166238347692584
"PHIP",3.39322698852552,0.000690743744316738,0.17550204519063
"EIF2S1",3.38902462608875,0.000701417109296698,0.17627679330488
"NKG7",-3.38291172716126,0.00071721681146955,0.177615860852604
"DNMT3A",-3.38104415571005,0.000722109377628339,0.177615860852604
"DCDC2",3.36918258545468,0.000753914695206408,0.18186943633066
"FAM26F",-3.36873696545793,0.000755134548148582,0.18186943633066
"ICAM3",-3.36456776370651,0.000766636559613552,0.18195950184238
"ZNF641",3.36291242316771,0.000771248266967401,0.18195950184238
"CYP19A1",-3.35739895530591,0.000786794955092402,0.18306194428742
"PRKAA2",3.34995899377835,0.000808235246022913,0.18306194428742
"LRIG1",-3.34784869560955,0.000814414617669902,0.18306194428742
"ADCY5",-3.34545790122072,0.000821468286597343,0.18306194428742
"PWP1",3.34292389411836,0.000829006326253409,0.18306194428742
"PLEKHA1",3.33743135925591,0.000845566046855637,0.18306194428742
"DDX28",-3.33583752055354,0.000850428512730403,0.18306194428742
"NCR3",-3.33495539972126,0.000853130812689623,0.18306194428742
"SOX14",-3.33204929412783,0.000862089846944554,0.18306194428742
"KIAA1755",-3.33057529780423,0.000866667202004217,0.18306194428742
"IBA57",3.32892864609186,0.000871807365716314,0.18306194428742
"TMEM198B",-3.32718999859509,0.000877265370393294,0.18306194428742
"RHEBL1",-3.32668729943303,0.000878849349764441,0.18306194428742
"FOXK1",-3.32405502569574,0.000887186889334888,0.1830893633201
"KLHDC10",-3.31853831054464,0.000904899085824775,0.1830893633201
"MSI2",3.31831533282593,0.000905621831583023,0.1830893633201
"STX10",-3.31676678491583,0.000910655974300917,0.1830893633201
"MYLIP",-3.3126240499802,0.00092425127770391,0.184220808549932
"TOLLIP-AS1",-3.30456228317519,0.000951248371692246,0.184522619513912
"CXCR6",-3.30203165073577,0.000959872383581367,0.184522619513912
"UBR1",3.29934091427307,0.000969121396899742,0.184522619513912
"R3HDML",-3.29765277467449,0.000974966191635314,0.184522619513912
"TAPBPL",-3.29717342450158,0.000976631771862397,0.184522619513912
"OTUD7B",3.29518814922315,0.000983558026704848,0.184522619513912
"LOC728743",-3.29501783880281,0.000984154321305668,0.184522619513912
"TSPYL1",3.29278993122236,0.000991985612515157,0.184522619513912
"OCIAD1",3.28384356520821,0.00102401745709179,0.184522619513912
"PDE5A",-3.28377273414316,0.00102427483967349,0.184522619513912
"SYNJ2BP-COX16",3.28268050180795,0.00102825132965439,0.184522619513912
"RAN",3.28137081309225,0.00103303834877182,0.184522619513912
"FUBP1",3.27761533718377,0.0010468795156838,0.184522619513912
"MARCH3",-3.27582270446672,0.00105354676107837,0.184522619513912
"LOC100652930",-3.27373331216069,0.00106136729989303,0.184522619513912
"TTC5",3.27180280409936,0.00106864084105689,0.184522619513912
"FKRP",3.27057498184652,0.0010732908457224,0.184522619513912
"SUPT20H",-3.27005672768135,0.00107525918788998,0.184522619513912
"GABRA4",3.26949419202398,0.00107739949112833,0.184522619513912
"PLEKHA5",3.26493733214069,0.00109488297476637,0.1848328248176
"DDX3X",3.26485557455471,0.0010951990398344,0.1848328248176
"SNHG17",-3.25748567050448,0.00112403933377963,0.18832545968347
"COMMD7",-3.25503110164385,0.00113379948727846,0.188594085937879
"ZNF91",-3.25246295968296,0.00114409506397553,0.18859660891747
"C11orf70",3.24924834538518,0.00115710409993974,0.18859660891747
"WSCD2",-3.24895807693673,0.00115828547494835,0.18859660891747
"LGI4",-3.24522430125457,0.00117358143651635,0.188697464239611
"ZSCAN20",-3.24072942462038,0.00119224290134954,0.188697464239611
"PGM5",-3.2388112202028,0.00120028989901068,0.188697464239611
"SARS",3.23876631811301,0.00120047886592027,0.188697464239611
"ITGB1",3.23486182440147,0.00121701611578203,0.188697464239611
"C14orf105",3.23307974603304,0.0012246337203872,0.188697464239611
"GUCY1A2",3.23207084235741,0.00122896584061609,0.188697464239611
"TNFRSF21",3.22736716501435,0.00124935034076123,0.188697464239611
"COL22A1",-3.22690992842342,0.00125134844348235,0.188697464239611
"MOSPD2",3.22449963502178,0.00126193017441298,0.188697464239611
"YTHDC1",3.22338031275108,0.00126687228915892,0.188697464239611
"ACSS2",-3.21963657995059,0.00128353201626953,0.188697464239611
"PARP9",-3.218958132305,0.00128657268785612,0.188697464239611
"RIMBP2",3.21718755931291,0.0012945394005403,0.188697464239611
"KLK6",3.21649765734877,0.00129765593039228,0.188697464239611
"RAB43",-3.21295256670636,0.00131377984856129,0.188697464239611
"GRAMD2",3.21163498240266,0.00131981951593832,0.188697464239611
"SERPINA3",3.2108379268574,0.0013234855611402,0.188697464239611
"AP4S1",3.20720740807291,0.00134030325177563,0.188697464239611
"EDN3",-3.2055261995124,0.00134815773040495,0.188697464239611
"DDAH1",-3.204693608419,0.00135206323426454,0.188697464239611
"ZNF627",-3.2021499340735,0.00136405980131213,0.188697464239611
"ZFX",3.20128531856252,0.00136815983819015,0.188697464239611
"DLGAP4",-3.20117098192903,0.0013687028766353,0.188697464239611
"KIF27",3.20076660400819,0.00137062505285494,0.188697464239611
"ADAT3",-3.20066703216025,0.00137109874106893,0.188697464239611
"CHIC1",3.19559387075942,0.00139543381797691,0.190910208907954
"C5orf24",3.19096561350831,0.00141798155647969,0.191922805373285
"TMBIM4",3.19066922650384,0.00141943686340694,0.191922805373285
"HIST1H2AB",-3.18760826689718,0.0014345474107177,0.192149983706629
"DIEXF",3.1859483243874,0.00144280365662676,0.192149983706629
"TGFB3",-3.18529825005979,0.00144604892370371,0.192149983706629
"CARHSP1",-3.18233810360048,0.00146091165638099,0.193015648041057
"NTN1",-3.17496761955734,0.00149853222381488,0.196540085373098
"METTL7A",-3.17283705718833,0.00150957220772708,0.196540085373098
"CLIC6",-3.172161342787,0.00151308919148875,0.196540085373098
"SYN2",3.16769341673437,0.00153653463071392,0.198299513175065
"MOB3B",-3.16632396018148,0.00154378756850965,0.198299513175065
"SNX16",3.16238072395548,0.00156484826665992,0.199711060377329
"FLI1",-3.16104317578293,0.0015720519436302,0.199711060377329
"CCL5",-3.15353040276274,0.00161308425030651,0.201082774036681
"MSLN",3.15352604372311,0.00161310834148086,0.201082774036681
"ERVH-6",-3.1534919128016,0.00161329698484142,0.201082774036681
"VAMP1",-3.15073271747204,0.00162861454399205,0.201082774036681
"GRAP2",-3.14965263463721,0.00163464694524421,0.201082774036681
"POMT2",3.14958391958537,0.00163503142246858,0.201082774036681
"ZNF554",-3.14124079329758,0.0016823365301858,0.204392536823413
"UCKL1",-3.1410890755369,0.00168320830166059,0.204392536823413
"LOC101928269",-3.14017594672195,0.00168846393033484,0.204392536823413
"APOOL",3.1381137461329,0.00170038877453338,0.204764004458261
"TAOK2",-3.13391208884162,0.00172492525371012,0.206473557398505
"TRIM3",-3.13229483784427,0.00173445600952719,0.206473557398505
"GRID1",-3.13112579282754,0.00174137553274982,0.206473557398505
"EVC",-3.12303699711449,0.00178995246104824,0.209015954253117
"PPAT",3.11939381067836,0.00181223569723884,0.209015954253117
