"Arm","k","C_train","C_test"
"Pathway",20,0.685463369540097,0.643426294820717
"Gene",30,0.852207071874278,0.577689243027888
"Pathway",30,0.749248902241738,0.5
"Gene",50,0.883753177721285,0.573705179282869
"Pathway",50,0.770626299976889,0.466135458167331
"Gene",2,0.680705882352941,0.503663003663004
"Pathway",2,0.601294117647059,0.54029304029304
"Gene",3,0.714352941176471,0.523809523809524
"Pathway",3,0.631764705882353,0.534798534798535
"Gene",5,0.740235294117647,0.485347985347985
"Pathway",5,0.628235294117647,0.536630036630037
"Gene",7,0.756470588235294,0.509157509157509
"Pathway",7,0.638823529411765,0.554945054945055
"Gene",10,0.779529411764706,0.531135531135531
"Pathway",10,0.667647058823529,0.587912087912088
"Gene",15,0.781294117647059,0.532967032967033
"Pathway",15,0.703411764705882,0.600732600732601
"Gene",20,0.803764705882353,0.527472527472527
"Pathway",20,0.704941176470588,0.591575091575092
"Gene",30,0.843882352941176,0.452380952380952
"Pathway",30,0.719294117647059,0.545787545787546
"Gene",50,0.888823529411765,0.472527472527473
"Pathway",50,0.762,0.565934065934066
"Gene",2,0.681913164615742,0.462135922330097
"Pathway",2,0.629672625957743,0.512621359223301
"Gene",3,0.712212677037381,0.522330097087379
"Pathway",3,0.63431622939401,0.524271844660194
"Gene",5,0.726375667517994,0.464077669902913
"Pathway",5,0.63361968887857,0.518446601941748
"Gene",7,0.728465289064314,0.502912621359223
"Pathway",7,0.646273508242396,0.549514563106796
"Gene",10,0.747155792895287,0.485436893203884
"Pathway",10,0.664964012073369,0.586407766990291
"Gene",15,0.772695611794753,0.483495145631068
"Pathway",15,0.696076155096355,0.566990291262136
"Gene",20,0.780009287206873,0.500970873786408
"Pathway",20,0.704550731367541,0.568932038834951
"Gene",30,0.804156025075459,0.512621359223301
"Pathway",30,0.722080334339447,0.590291262135922
"Gene",50,0.865219410262364,0.403883495145631
"Pathway",50,0.767123287671233,0.590291262135922
"Gene",2,0.667638144089531,0.482824427480916
"Pathway",2,0.593961296339473,0.58206106870229
"Gene",3,0.680694800652833,0.5
"Pathway",3,0.605968757286081,0.540076335877863
"Gene",5,0.694917230123572,0.526717557251908
"Pathway",5,0.611914199114013,0.587786259541985
"Gene",7,0.725693634879925,0.467557251908397
"Pathway",7,0.630333411051527,0.604961832061069
"Gene",10,0.721147120540919,0.501908396946565
"Pathway",10,0.635812543716484,0.620229007633588
