"Arm","k","C_train","C_test"
"Gene",15,0.756236885054791,0.480916030534351
"Pathway",15,0.634530193518303,0.599236641221374
"Gene",20,0.774539519701562,0.543893129770992
"Pathway",20,0.680111914199114,0.572519083969466
"Gene",30,0.78036838423875,0.463740458015267
"Pathway",30,0.721380275122406,0.562977099236641
"Gene",50,0.837957565866169,0.574427480916031
"Pathway",50,0.749591979482397,0.557251908396947
"Gene",2,0.677721786007266,0.473977695167286
"Pathway",2,0.641157857728818,0.444237918215613
"Gene",3,0.702800890659791,0.410780669144981
"Pathway",3,0.643970467596391,0.434944237918216
"Gene",5,0.720614086487753,0.446096654275093
"Pathway",5,0.649361303175905,0.446096654275093
"Gene",7,0.739716395171686,0.453531598513011
"Pathway",7,0.645259580452361,0.453531598513011
"Gene",10,0.762920426579163,0.552044609665427
"Pathway",10,0.669518340560178,0.401486988847584
"Gene",15,0.773116137349115,0.570631970260223
"Pathway",15,0.685456463143091,0.49814126394052
"Gene",20,0.790812141099262,0.604089219330855
"Pathway",20,0.709246454939646,0.513011152416357
"Gene",30,0.802882925114262,0.533457249070632
"Pathway",30,0.739130434782609,0.470260223048327
"Gene",50,0.867807336224071,0.544609665427509
"Pathway",50,0.785772881753193,0.468401486988848
"Gene",2,0.675698158051099,0.599290780141844
"Pathway",2,0.590374331550802,0.673758865248227
"Gene",3,0.70291146761735,0.624113475177305
"Pathway",3,0.595959595959596,0.689716312056738
"Gene",5,0.740106951871658,0.645390070921986
"Pathway",5,0.597860962566845,0.664893617021277
"Gene",7,0.770647653000594,0.620567375886525
"Pathway",7,0.598811645870469,0.627659574468085
"Gene",10,0.785858585858586,0.562056737588652
"Pathway",10,0.689007724301842,0.661347517730496
"Gene",15,0.795365418894831,0.562056737588652
"Pathway",15,0.700772430184195,0.647163120567376
"Gene",20,0.806773618538324,0.562056737588652
"Pathway",20,0.720023767082591,0.643617021276596
"Gene",30,0.829471182412359,0.471631205673759
"Pathway",30,0.734878193701723,0.617021276595745
"Gene",50,0.877124183006536,0.595744680851064
"Pathway",50,0.765300059417707,0.583333333333333
"Gene",2,0.698093587521664,0.488188976377953
"Pathway",2,0.609936452917389,0.529527559055118
"Gene",3,0.710571923743501,0.419291338582677
"Pathway",3,0.617331022530329,0.492125984251969
"Gene",5,0.714615829000578,0.387795275590551
"Pathway",5,0.625996533795494,0.549212598425197
"Gene",7,0.737954939341421,0.362204724409449
"Pathway",7,0.64055459272097,0.531496062992126
"Gene",10,0.735066435586366,0.368110236220472
"Pathway",10,0.670132871172733,0.535433070866142
"Gene",15,0.754015020219526,0.381889763779528
"Pathway",15,0.686655112651646,0.551181102362205
"Gene",20,0.783015597920277,0.464566929133858
"Pathway",20,0.705372616984402,0.55511811023622
"Gene",30,0.806354708261121,0.498031496062992
"Pathway",30,0.752512998266898,0.588582677165354
"Gene",50,0.846100519930676,0.474409448818898
"Pathway",50,0.783246678220682,0.578740157480315
"Gene",2,0.630769230769231,0.481481481481481
"Pathway",2,0.604858299595142,0.528265107212476
"Gene",3,0.682591093117409,0.463937621832359
"Pathway",3,0.625332562174667,0.545808966861598
"Gene",5,0.713475997686524,0.549707602339181
"Pathway",5,0.626026604973973,0.516569200779727
"Gene",7,0.711393869288606,0.530214424951267
"Pathway",7,0.633545401966455,0.538011695906433
"Gene",10,0.732215153267785,0.559454191033138
"Pathway",10,0.652631578947368,0.563352826510721
"Gene",15,0.739733950260266,0.606237816764133
"Pathway",15,0.676344707923655,0.54775828460039
"Gene",20,0.765413533834586,0.553606237816764
"Pathway",20,0.693117408906883,0.58869395711501
"Gene",30,0.788895315211105,0.555555555555556
"Pathway",30,0.743435511856565,0.495126705653021
"Gene",50,0.834817813765182,0.454191033138402
"Pathway",50,0.766338924233661,0.504873294346979
"Gene",2,0.657487091222031,0.46734693877551
"Pathway",2,0.609064830751578,0.520408163265306
"Gene",3,0.705794606999426,0.508163265306122
"Pathway",3,0.617441193344808,0.516326530612245
"Gene",5,0.735169248422261,0.489795918367347
"Pathway",5,0.628915662650602,0.553061224489796
"Gene",7,0.733907056798623,0.481632653061224
"Pathway",7,0.632128514056225,0.557142857142857
"Gene",10,0.731612162937464,0.477551020408163
"Pathway",10,0.660585197934596,0.612244897959184
"Gene",15,0.742512908777969,0.497959183673469
"Pathway",15,0.668846815834768,0.646938775510204
"Gene",20,0.775903614457831,0.518367346938776
"Pathway",20,0.692943201376936,0.63265306122449
"Gene",30,0.803212851405622,0.548979591836735
