"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","fisher_p","stouffer_z","stouffer_p","fisher_fdr","stouffer_fdr","mean_logfc"
"RAB33B",0.108868537211533,0.658554961841479,"up",12.1990987075829,0.133398024569499,"up",0.175525510396656,0.281989786629747,"up",-0.389144042232311,0.98978285765494,"down",0.2466779737999,0.00124575288006304,"up",5,4,1,"up",0.8,0.0225871907825656,3.15911040348508,0.00158251528722441,0.161073824344968,0.0682781287840146,2.62386295424466
"LRIG2",0.0632480407128095,0.658622178719991,"up",46.7881761289058,0.00500974534627862,"up",0.334852080162921,0.128245055912774,"up",-19.4240754147813,0.27843533115351,"down",-0.0245010735890642,0.426398936337277,"down",5,3,2,"up",0.6,0.0312274923846251,1.3708717744566,0.17041493153832,0.182493176295329,0.484682311374697,13.3269705476304
"SP4",-0.0831470301523904,0.658686457032573,"down",17.445368141066,0.468221935581275,"up",-0.153985351217467,0.142638157918997,"down",-25.49395173454,0.481080488579425,"down",0.0999191948385747,0.219516534579276,"up",5,2,3,"down",0.6,0.377837662938285,-0.112370258871542,0.910529835927901,0.575789933413792,0.965678954931516,8.65527429036289
"TSHZ3",-0.139303167095956,0.658731265007591,"down",-3.26792700292459,0.506464548278579,"down",0.094680572861182,0.645303065901978,"up",-143.306509803921,0.00343380684188387,"down",0.201823800126523,0.0616146687864417,"up",5,2,3,"down",0.6,0.0293148554817981,0.100899653558848,0.919630118125664,0.178208004529902,0.969645621432934,29.4020488693858
"OCA2",0.0791850601616456,0.65876244319556,"up",-11.4281277083945,0.135889213453916,"down",-0.00310275352999173,0.983214011149923,"down",24.4427511312217,0.0276138120164096,"up",-0.0801395813304456,0.432919694599853,"down",5,2,3,"down",0.6,0.186452946311221,-0.313336165799924,0.754025276179646,0.401280642848352,0.904828464429916,7.20666124692766
"BRWD1",-0.124969691503856,0.658783430698004,"down",10.6570895801324,0.0402910742314537,"up",-0.341033729473402,0.0452426679662221,"down",12.6573401206636,0.184700521935115,"up",0.201027288893481,0.0743810123191322,"up",5,3,2,"up",0.6,0.0149800257869887,0.961828809235017,0.336135603953511,0.137040142555415,0.644602906935008,4.79629208213335
"HEXIM2",0.105261053624956,0.658818636638227,"up",10.7186121026265,0.00509475321604921,"up",0.0304693102714699,0.859285750996557,"up",-3.91379487179487,0.827652888209328,"down",-0.0850334379462729,0.251136448968859,"down",5,3,2,"up",0.6,0.138048477216798,0.718836582878054,0.472241614351424,0.349542489411033,0.747605635661446,2.97063415525281
"FAM76B",0.0542033171489379,0.658832539905963,"up",43.5057389710759,0.0205039432285842,"up",0.287850207339734,0.203585138489618,"up",-7.47554600301659,0.612658335035959,"down",0.110867239943287,0.382077516874715,"up",5,4,1,"up",0.8,0.143530811576897,2.133979714912,0.032844441350869,0.356289676864234,0.230001213748051,10.2868411477049
"TUBA1A",0.0671712740099792,0.658910384776372,"up",188.653968673859,0.400155709162684,"up",0.0577524217425293,0.803292059655936,"up",-1290.44155505279,0.00476126386529032,"down",0.27623346939655,0.0555133613238887,"up",5,4,1,"up",0.8,0.0334747167237985,1.06706645738761,0.285941827172031,0.188082034748103,0.602428868985532,295.89933617836
"CST5",0.0903130021842447,0.658938259013418,"up",-1.61234890481788,0.790446749362936,"down",0.0146322900273841,0.908401268812798,"up",0.0222466063348459,0.992157684784304,"up",-0.072508509724469,0.0838916908010789,"down",5,3,2,"up",0.6,0.774450576458701,-0.817325456948768,0.413742462509266,0.854853177251954,0.706381242521405,0.362409862617765
"DCBLD2",-0.0716803733121337,0.658964780837831,"down",-2.66425463589549,0.633352679009593,"down",0.187007454010702,0.377041097278336,"up",-11.676431372549,0.756127440781706,"down",0.405384767340233,0.0307150625526101,"up",5,2,3,"down",0.6,0.340370808928746,1.18074451140482,0.237704233249441,0.5440751274979,0.558533206415889,3.00095172062151
"NKIRAS2",-0.0848869078060951,0.658976594271784,"down",22.7359264128989,0.0429863066468094,"up",0.132771516420326,0.275943132808715,"up",-17.4131282051282,0.597732792406364,"down",-0.0780193900221401,0.227372729006967,"down",5,2,3,"down",0.6,0.187385270904672,0.332106928531122,0.739808518566073,0.402309591207474,0.899009768971342,8.08894648645513
"MTF2",0.0615563010124823,0.659047182663863,"up",16.8356004516323,0.0118033119360894,"up",0.467297338950161,0.0582224697752188,"up",51.5676508295626,0.120927082714329,"up",0.124929255004061,0.0610104385742163,"up",5,5,0,"up",1,0.00494691268332621,3.58189228461171,0.000341114444614559,0.0949032514778405,0.037400627716428,13.8114068352323
"RAB35",0.117698235107264,0.659106572526145,"up",-21.9806344130529,0.0593155372107017,"down",-0.241655260285504,0.29455103063871,"down",75.0034743589743,0.0823632327417197,"up",-0.211193287259455,0.025397550795052,"down",5,2,3,"down",0.6,0.019303261317026,-1.90876630045404,0.0562922459657205,0.150661748153005,0.290191663502509,19.5109311109359
"PLA2G4D",-0.096262727314653,0.659125352315931,"down",0.557318177903252,0.687674752028351,"up",0.0333038503205633,0.650463360956663,"up",2.76847209653092,0.191563585914963,"up",-0.0241035298946752,0.406590740431725,"down",5,3,2,"up",0.6,0.672925377873958,0.0239997637013279,0.98085279719271,0.786249621837829,0.992151702292372,0.695892076392813
"TXN",0.105838266629571,0.659130669546188,"up",-73.6396719133677,0.0512594142721907,"down",0.157046110320182,0.156346484052958,"up",549.717674208145,0.324341837045924,"up",-0.0811107231815502,0.240488483063863,"down",5,3,2,"up",0.6,0.112023444820332,-0.305182686441214,0.760227018036956,0.316491462123028,0.906668760713691,124.740268244329
