"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582"
"SLK","down","up","down","up","up"
"CXCL2","down","down","up","down","down"
"PALMD","up","down","up","down","down"
"USP25","down","down","down","down","up"
"PTPDC1","down","up","down","down","up"
"SLC29A2","up","down","down","down","down"
"NCOA3","down","up","down","down","up"
"GDF7","down",NA,NA,NA,NA
"ABCG8","up","up","down","up","down"
"FLG","up","down","up","up","down"
"DCUN1D2","down","up","down","up","down"
"PCDH7","down","down","up","down","up"
"SETD4","down","down","down","up","down"
"SLC36A4","down","up","up","down","down"
"DHRS13","up","down","up","up","down"
"TMEM18","down","up","down","down","down"
"FOXL2","down","down","down","down","down"
"F12","up","down","down","up","down"
"STX4","up","down","up","down","down"
"ENTPD8","up",NA,NA,NA,NA
"TBX5-AS1","up","down","up","down","down"
"FAM161A","up","up","up","up","up"
"FAT4","down","down","up","down","up"
"CCDC69","down","down","up","down","up"
"POLR1B","down","up","down","up","down"
"USP30-AS1","down","down","up","down","down"
"SLC33A1","down","up","up","down","down"
"EIF4E","down","up","up","up","up"
"PFN3","up",NA,NA,NA,NA
"PLEKHH3","up","down","down","down","down"
"POU2F2","down","down","down","down","down"
"SETD5","down","down","up","up","up"
"BTBD9","down","down","up","down","down"
"ZC3H12C","down","down","up","up","down"
"AVL9","down","down","down","up","up"
"ALS2CR12","up","down","up","up","down"
"EFNA3","up","down","down","up","down"
"CHST7","down","up","up","down","down"
"SRPK2","down","down","up","up","down"
"LYPLA2","up","down","down","up","down"
"ATP11A","down","down","down","up","up"
"MAP2K5","up","up","up","up","up"
"BRD8","down","up","up","down","up"
"FAM168A","down","up","up","down","up"
"NOL4L","up","down","down","down","down"
"EXO1","up","down","up","up","down"
"MDFIC","down","up","up","down","up"
"GDNF","down","down","down","down","down"
"ARL6IP1","down","down","down","up","down"
"TMEM260","down","up","up","up","down"
"AFF4","down","down","up","up","up"
"SDCCAG8","down","down","down","down","up"
"CDK6","down","down","down","up","up"
"PRKAR2B","down","down","up","down","down"
"METTL1","up","up","up","up","down"
"RBM47","down","down","up","up","down"
"ING3","down","up","up","up","up"
"MRPL19","down","up","up","up","up"
"PDP2","down","down","down","up","down"
"ANO10","down","down","up","down","down"
"SPC25","down","down","up","up","down"
"PRUNE1","up",NA,NA,NA,NA
"STK17A","down","up","up","down","up"
"FOXJ1","up","up","down","down","down"
"MPPED2","down","up","down","down","up"
"CADPS","down","down","up","up","up"
"LOC102724250","up",NA,NA,NA,NA
"SRSF7","down","up","down","down","down"
"MIR99AHG","down",NA,NA,NA,NA
"SYTL3","down","down","up","down","up"
"DCUN1D4","down","up","up","down","down"
"CYP19A1","down","down","down","up","down"
"CLEC16A","down","down","down","up","down"
"CD38","down","down","up","down","down"
"IL1R2","up","up","up","up","down"
"NUPR2","down",NA,NA,NA,NA
"TROVE2","down","down","down","down","up"
"IGF2BP2","down","down","up","up","down"
"ZNF419","down","up","down","down","up"
"RUNX1","down",NA,NA,NA,NA
"GAPVD1","down","down","up","up","up"
"KLHL9","down","up","down","up","up"
"ITGA6","up","up","up","up","down"
"CCR8","down","up","down","down","down"
"LOC221272","down","up","up","up","up"
"SCGN","down","up","down","down","down"
"PTGS1","down","down","up","down","up"
"SFTPC","up","down","up","up","down"
"PIGK","down","up","up","up","up"
"SLU7","down","up","up","down","up"
"CLC","down","up","up","down","down"
"SKIL","down","down","down","down","up"
"PPM1H","down","up","up","up","down"
"DLEU1","down","down","up","up","down"
"ADAMTSL3","down","down","down","down","up"
"PPM1L","down","up","up","up","up"
"ASIC1","up","up","down","down","up"
"CANX","down","up","up","up","up"
"GLA","up","up","up","up","down"
"MICALL2","up","down","down","down","down"
"PRSS23","down","up","up","down","up"
"C1orf27","down","down","up","up","up"
"BAIAP2L2","down","up","up","up","up"
"SPTB","up","down","down","down","down"
"RPS6KC1","down","up","up","down","up"
"ZXDC","down","up","up","up","up"
"CXorf23","down","up","up","up","up"
"KRT17","up",NA,NA,NA,NA
"SLC45A4","up","up","up","up","down"
"LY6G6C","up","down","down","up","up"
"API5","down","up","up","up","up"
"ASB5","down","up","down","down","up"
