"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582"
"DDX50","down","up","up","down","up"
"OGG1","up","down","up","up","down"
"EXOC4","up","down","down","up","down"
"RFT1","up","up","down","down","down"
"OR2W1","up","down","down","up","up"
"LYSMD2","up","down","down","down","down"
"CATSPER3","up","down","up","up","down"
"HINT3","down","down","up","down","down"
"SHISA5","down","down","down","down","down"
"IL23A","down","down","up","down","down"
"ACTR3","down","up","up","up","up"
"LOC100286922","up","down","down","down","down"
"C14orf177","up",NA,NA,NA,NA
"SLC25A22","up","down","down","up","down"
"LAPTM4A","up","down","down","down","up"
"PRKDC","up","up","up","up","up"
"PHYKPL","up","up","down","down","down"
"ZNF587","down","up","down","up","down"
"ZNF606","down","up","up","down","up"
"TBX5","up","down","down","up","down"
"ATP2B4","down","down","down","down","up"
"PKN2-AS1","down",NA,NA,NA,NA
"FAM193B","down","down","down","down","down"
"FCN1","up","down","up","down","up"
"PWP1","up","up","up","up","up"
"OFCC1","up","down","down","down","down"
"NEU1","up","down","down","down","down"
"POT1","down","up","down","up","up"
"THAP7-AS1","up","down","down","down","up"
"UBXN10","up","up","up","down","down"
"CAPNS2","down","down","down","down","down"
"TUBB2A","down","down","down","down","up"
"CSMD1","down","down","down","down","down"
"OR6M1","up",NA,NA,NA,NA
"GOLGA8T","up",NA,NA,NA,NA
"AKAP13","down","down","up","down","up"
"GPC3","down","up","up","down","down"
"CRTC2","down","down","down","down","down"
"TTC22","up","up","down","up","down"
"SMARCA4","up","down","down","down","down"
"SYCE3","up","down","down","down","down"
"SPEN","down","down","up","up","up"
"PPM1B","up","down","down","up","up"
"DUS4L","down","up","up","up","down"
"THAP3","up","up","down","down","down"
"RCE1","up","up","down","down","down"
"GSTTP1","up","down","down","down","down"
"EPB42","down","up","down","up","down"
"CWC27","up","down","up","up","up"
"UBASH3B","up","up","up","down","down"
"LILRB4","down","down","down","down","down"
"IL1F10","up","down","down","down","down"
"ELK4","down","down","down","up","down"
"C1orf35","up","down","down","up","down"
"IGFN1","up","down","down","down","down"
"FRMPD4","up","down","down","down","up"
"PIGF","up","up","down","up","up"
"CAMP","down","down","down","down","down"
"SLC6A5","up","down","down","down","down"
"LINC00504","up",NA,NA,NA,NA
"SLC25A6","up","down","up","up","up"
"SLC27A2","up","up","up","up","down"
"COG2","down","up","down","up","down"
"VCX2","up","down","down","up","down"
"FMN2","down","up","down","down","up"
"DSCR3","down","down","down","up","down"
"SLC25A25","down","down","down","down","up"
"KCNQ1DN","up","down","down","up","down"
"SAMSN1","down","down","up","up","down"
"FBXO31","down","down","down","up","up"
"ACOX2","up","up","up","up","down"
"DCAF6","down","down","down","down","down"
"ACIN1","up","down","down","up","up"
"C1QC","up","down","down","down","down"
"FASTKD2","up","up","down","up","up"
"ZNF663P","up","down","down","down","down"
"NOSTRIN","down","down","down","up","up"
"NKAPP1","down","up","up","up","down"
"ABCA8","up","down","down","down","down"
"CELF4","up","up","up","up","down"
"ILF3","down","down","down","up","down"
"SH3PXD2A","down","up","up","down","up"
"LOC100129447","down","down","down","up","up"
"LOC202181","down","up","down","up","down"
"TBC1D10A","down","up","down","down","up"
"C1orf234","down","down","down","down","down"
"EIF2D","up","down","down","up","down"
"TRIM48","up",NA,NA,NA,NA
"MGC12916","down","down","down","down","down"
"C16orf86","up","down","down","down","down"
"SLFN5","up","up","up","down","down"
"NTM-AS1","up",NA,NA,NA,NA
"TXNRD1","up","down","up","up","up"
"IFT27","up","down","up","down","down"
"G6PC3","up","down","down","down","down"
"C1D","up","up","up","up","up"
"LHFPL3-AS1","up","down","up","up","down"
"XAGE5","up",NA,NA,NA,NA
"NDST3","up","down","down","up","down"
"RNASEH2A","up","down","down","up","down"
"TMEM249","up",NA,NA,NA,NA
"POLR2C","up","down","down","down","down"
"GGT8P","up",NA,NA,NA,NA
"IGSF9","down","up","down","down","down"
"IGSF1","down","up","up","up","up"
"ULK4","down","down","up","down","down"
"GPR20","up","down","down","down","up"
"OSTC","up","up","up","up","down"
"EIF3B","up","down","down","up","down"
"FAM47B","up","up","down","down","up"
"DNAJC17","down","up","up","up","up"
"SLC50A1","up","down","down","down","down"
"NOXRED1","up","up","down","up","down"
"NLGN4Y","up","down","down","down","up"
"HLA-DRA","down","up","down","down","down"
"MRPS30","down","up","up","up","down"
"PTGDS","down","down","down","down","down"
"ANKRD33","up","down","up","down","up"
"PSMB9","up","down","up","down","down"
"ANTXR1","down","down","down","down","up"
"CBL","up","down","up","down","down"
"XK","up","down","down","up","down"
"MPP2","down","down","down","down","up"
"TTTY8","up",NA,NA,NA,NA
"CMTM7","up","down","down","down","up"
"ENDOV","up","up","down","up","down"
"SLC30A10","down","up","up","down","down"
"GRAP","up","down","down","down","down"
"EMC9","down","up","up","down","down"
"OCM2","down","down","down","down","down"
"MPEG1","up","up","up","down","down"
"ATP4B","up","down","down","down","down"
"ATAD2","down","down","up","up","up"
"LAT2","up","down","down","down","down"
"TAS2R10","up","up","down","up","down"
"PYROXD2","down","down","up","down","up"
"FUNDC1","up","down","up","up","up"
"GOLGA2P2Y","up",NA,NA,NA,NA
"KDM8","up","up","down","down","down"
"PJA2","down","up","up","down","up"
"ERCC1","up","up","down","down","down"
"CUL2","down","up","up","up","up"
"GBA","up",NA,NA,NA,NA
"ANKRD34A","up","down","down","up","up"
"HOXB1","up","down","down","down","down"
"SMA4","down","up","up","down","down"
"CD96","down","down","up","down","down"
"IMPA2","up","down","up","up","down"
"APBB1IP","down","up","down","down","down"
"ZMAT2","up","up","down","down","up"
"SUZ12","up","up","up","up","up"
"UGT2B10","down",NA,NA,NA,NA
"CLIP1-AS1","up","up","down","up","down"
"WDR5B","down","up","up","up","down"
"CYSTM1","up","down","down","up","down"
"STX7","down","up","down","down","up"
"ZNF436-AS1","down",NA,NA,NA,NA
"TMEM184B","up","down","up","down","down"
"MYADML","up",NA,NA,NA,NA
"BTBD6","up","up","up","down","down"
"DCSTAMP","up","down","up","down","down"
"MSX1","down","down","up","up","down"
"RCN2","down","up","up","up","up"
"DBP","up","down","down","down","down"
"RPS7","up","up","down","up","up"
"ARHGAP31","up","down","down","down","down"
"OR4D5","up",NA,NA,NA,NA
"LOC439933","down","down","up","down","up"
"COL20A1","up","down","down","down","down"
"CARMIL1","up",NA,NA,NA,NA
"RASL12","down","down","up","down","up"
"METTL7B","up","up","down","up","down"
"TMEM170A","down","down","up","up","down"
"CCL3","up",NA,NA,NA,NA
"CYP11A1","up","down","down","down","down"
"MXRA5","down","down","up","down","up"
"PACSIN3","up","up","up","down","up"
"SOX2","down","down","up","down","down"
"LOC642620","down","up","down","down","down"
"PRMT8","up","up","down","down","down"
"C14orf1","up","down","up","down","down"
"SPANXA2-OT1","down","down","up","up","up"
"ALG10B","up",NA,NA,NA,NA
"DENND5A","down","up","up","down","up"
"MST1R","up","down","up","up","down"
"GADD45B","up","down","down","down","up"
"UFM1","down","down","down","up","down"
"COG4","up","down","down","up","down"
"NDUFV2","up","down","up","down","down"
"PDE8B","down","down","up","down","up"
"TUBAL3","up","up","up","up","down"
"M1AP","up","down","up","up","down"
"PPP1R3B","down","up","up","down","down"
"RGPD4-AS1","up","down","down","down","down"
"ZKSCAN5","down","up","up","up","down"
"UBOX5","down","down","down","up","down"
"DLSTP1","up",NA,NA,NA,NA
"MYO1A","up","up","down","up","down"
"CXCL17","up","down","up","down","down"
"SERPINB3","up","up","up","down","up"
"ZNF91","down","up","down","up","down"
"LILRB2","down","down","up","down","down"
"PLEKHH1","up","up","up","up","down"
"VWA3B","down","down","down","down","down"
"HLA-DRB4","up","up","up","down","down"
"ARHGEF40","down","down","up","up","up"
"TCP11L2","down","up","up","down","down"
"SS18","up","down","down","up","down"
"LOC414300","up","up","down","down","up"
"EML2","up","down","down","up","down"
"GJA4","up","down","down","down","up"
"LOC286254","up",NA,NA,NA,NA
"FERMT2","down","down","up","down","up"
"SPATA8-AS1","up",NA,NA,NA,NA
"ASGR2","up","up","down","down","down"
"LOC105274304","down",NA,NA,NA,NA
"TNN","up","down","down","down","up"
"FAM209A","up",NA,NA,NA,NA
"LRRC56","up","down","down","down","down"
"PCBD1","up","up","down","up","down"
"C5AR1","up","up","up","down","down"
"TIMM10B","down","down","down","up","down"
"ZNF683","down","down","down","down","down"
"PRR3","down","up","up","down","up"
"NAB2","down","down","down","down","up"
"SATB2-AS1","up","up","down","up","down"
"DRC1","down","up","up","up","down"
"TP53BP2","down","down","down","up","up"
"THUMPD1","up","down","up","up","up"
"ZZZ3","down","up","up","up","up"
"B3GALT2","down","up","up","down","up"
"KRTAP19-1","down","down","up","down","down"
"NCR1","up","up","down","down","down"
"LYNX1","down","down","down","down","up"
"FBXO6","up","up","down","down","down"
"OR4C1P","up","down","down","down","down"
"ATP6V0E2","down","up","down","down","up"
"APIP","up","down","down","up","up"
"DISP1","down","up","up","down","up"
"KLHDC3","up","down","down","down","down"
"PPP2R3B","up",NA,NA,NA,NA
"TRMT6","down","up","up","up","down"
"UNC5B-AS1","up","down","up","up","down"
"KRTAP4-11","down","down","up","up","down"
"SMAD1","down","down","up","up","up"
"TTTY1","up",NA,NA,NA,NA
"MLN","up","down","down","up","down"
"ACAN","up","down","up","down","down"
"DPEP2","down","up","up","down","down"
"FAIM","up","down","up","up","down"
"GDPD3","down","down","down","up","up"
"BST2","down","down","down","down","down"
"CKS1B","down","down","up","up","down"
"EPM2A","down","down","down","down","up"
"KIF22","down","down","down","up","down"
"STK35","down","down","down","down","down"
"PFDN4","up","up","down","down","down"
"SLC5A10","up","down","down","down","down"
"GLYCTK","up","up","down","up","down"
"NSMAF","down","down","up","down","up"
"IL4","up","down","up","down","down"
"NXF3","down","down","up","up","down"
"MYO18A","up",NA,NA,NA,NA
"HYPM","down","down","up","up","down"
"CCDC94","up","down","down","down","down"
"POLE3","down","down","up","up","down"
"LINC00854","up",NA,NA,NA,NA
"CTAGE9","up",NA,NA,NA,NA
"HRG","up","up","down","down","down"
"GHITM","down","down","up","up","down"
"OR51Q1","down",NA,NA,NA,NA
"CXorf40B","up","down","up","up","up"
"CACNG4","up","down","down","down","up"
"CCNI","down","down","up","down","up"
"RNASE2","up","down","up","down","down"
"OR1L3","up",NA,NA,NA,NA
"KATNAL1","up","up","down","down","up"
"SERGEF","up","down","up","down","down"
"PI16","up","down","down","down","down"
"GPSM3","up","down","down","down","down"
"GRAPL","up","down","down","down","up"
"AHSA2","down","up","up","up","up"
"KRT10","up","up","up","down","down"
"MBLAC1","down","down","down","down","down"
"SEPHS2","down","up","up","up","up"
"GCSAML","down","down","down","down","down"
"RFX4","down","up","down","down","up"
"FAM226A","down",NA,NA,NA,NA
"LINC01480","up",NA,NA,NA,NA
"CCDC144B","down",NA,NA,NA,NA
"TSPAN9","up","down","down","down","up"
"LIMS3","up",NA,NA,NA,NA
"USP26","down","down","down","down","down"
"EFCC1","down","down","down","down","down"
"PIEZO1","down","down","down","down","down"
"TMEM167A","down","up","up","down","up"
"FAM173A","up","down","up","up","down"
"STATH","up","down","down","down","up"
"NRG3","up","up","down","down","down"
"PLXNA3","up","down","down","down","down"
"HSFX1","up",NA,NA,NA,NA
"RRP1B","down","down","down","up","up"
"ZPBP","down","up","up","up","down"
"CENPU","up","up","up","up","down"
"HCG26","down","down","up","up","down"
"TEKT2","up","down","down","down","down"
"FAM9B","up","up","down","up","up"
"ZNF74","down","down","down","down","up"
"MOV10","up","down","up","down","down"
"SNTA1","down","down","down","down","up"
"ARSD","down","down","down","up","up"
"RAX2","down","down","down","down","up"
"SUMF2","up","down","down","down","up"
"LRP10","up","up","up","down","up"
"INPP5B","down","up","up","down","down"
"MRGPRG-AS1","up","down","down","down","down"
"BCL7C","down","down","down","down","down"
"RANBP3L","up","down","up","up","down"
"ENO3","up","up","up","down","down"
"ACP5","down","up","down","down","down"
"CDY2A","down",NA,NA,NA,NA
"BAAT","down","up","down","down","down"
"LOC101927178","down",NA,NA,NA,NA
"STK11IP","up","up","down","down","down"
"STXBP1","down","down","up","down","up"
"PUSL1","up","down","down","down","down"
"DDX60L","down","up","up","up","down"
"LHX4-AS1","down","up","up","up","down"
"SULF2","up","down","up","down","up"
"TSG101","down","down","down","up","up"
"FCHSD1","up","up","down","down","up"
"SPRY1","down","down","up","down","up"
"CRISPLD2","down","down","up","up","up"
"ZFP41","up","down","down","up","down"
"FLT3","up","up","down","up","down"
"RHEB","up","down","up","up","down"
"DBNDD2","down",NA,NA,NA,NA
"HIST2H2BC","up",NA,NA,NA,NA
"KCNK2","up","down","up","down","down"
"CADPS2","down","up","up","down","down"
"CALM1","down","up","down","down","down"
"COQ8A","down",NA,NA,NA,NA
"ORM2","up",NA,NA,NA,NA
"OR7E156P","down","down","down","up","up"
"ANAPC11","up","up","up","down","down"
"HMGN3","up","up","up","up","up"
"MGC34796","up","down","down","up","down"
"CCNB1","up","down","up","up","down"
"ITPK1","up","down","down","down","down"
"LAPTM4B","up","up","down","up","down"
"HDGFRP3","down","up","up","down","up"
"ASB10","up","down","down","up","down"
"MTTP","down","down","up","up","up"
"LOC283454","up","up","down","down","down"
"SPSB1","down","down","down","down","up"
"OTUD6B","up","up","down","up","up"
"ALDOC","up","up","down","up","down"
"HCLS1","up","down","up","down","down"
"MOCS1","down","down","down","down","down"
"KRTAP17-1","up","down","down","down","down"
"AVPR1B","up","down","down","down","down"
"HDDC3","up","up","down","up","down"
"GOLIM4","down","down","down","up","down"
"HIST1H2BL","up","down","up","up","down"
"AOC2","up","down","up","down","up"
"ARPC4","up","down","down","down","down"
"COIL","up","up","up","up","down"
"HTR2C","up","down","up","down","up"
"MYADML2","down","down","down","down","down"
"ZNF788","up",NA,NA,NA,NA
"IRAK2","up","up","up","down","down"
"SEC24B","up","up","up","up","up"
"SOHLH2","up","down","down","up","down"
"NID2","up","down","up","down","up"
"RPS10","up","down","down","up","up"
"WASH2P","up",NA,NA,NA,NA
"KAT14","up",NA,NA,NA,NA
"COX6C","up","down","down","up","down"
"MARCKSL1","up","down","up","up","down"
"HTN1","up","down","down","down","up"
"LOC643454","down",NA,NA,NA,NA
"MFSD14A","down",NA,NA,NA,NA
"ENPP1","up","up","down","up","down"
"C14orf79","up","up","down","down","down"
"ZKSCAN7","up","up","up","down","down"
"LOC105377371","up",NA,NA,NA,NA
"FECH","up","down","up","down","up"
"PF4V1","up","down","up","up","down"
"SMYD1","up","down","down","down","up"
"ZNF420","up","up","up","up","up"
"RORB","up","down","up","down","up"
"PRSS54","up","down","down","down","up"
"BHLHB9","down","up","up","up","up"
"FLJ44715","up",NA,NA,NA,NA
"GJB7","down",NA,NA,NA,NA
"ANKRD2","up","down","down","up","down"
"ZFC3H1","down","up","up","up","up"
"ITGA2B","up","down","down","up","down"
"ADCYAP1R1","down","down","up","up","down"
"SLC18B1","up","down","up","up","up"
"UNC80","up","down","up","up","up"
"OR12D2","down","down","down","up","up"
"CPSF3","up","down","down","up","down"
"BACE2","up","down","up","up","up"
"CRISPLD1","down","down","down","down","up"
"TTC28-AS1","down","up","up","up","down"
"PIF1","up","down","down","down","down"
"SPTLC1","up","down","up","down","down"
"LOC728705","up",NA,NA,NA,NA
"LOC100287704","up","down","down","up","down"
"SLAMF7","down","up","down","down","down"
"FAM49A","down","down","up","down","up"
"DUSP10","up","down","up","down","up"
"ALDH8A1","up","up","down","down","down"
"NHLRC3","down","up","up","up","up"
"SLC43A2","down","down","down","down","down"
"SLC39A13","up","down","down","down","down"
"PDCD2","up","down","up","up","up"
"OR52K3P","up","down","down","down","down"
"STAG3","down","down","down","down","down"
"LY9","down","down","up","down","down"
"DMRTC1B///DMRTC1","up",NA,NA,NA,NA
"CHSY1","down","up","up","down","up"
"MC3R","up","up","up","up","down"
"POM121L10P","down","down","down","up","down"
"SDHAF1","down","down","down","up","down"
"ZNF182","down","up","up","up","up"
"CMTM3","down","up","down","down","down"
"ABCA4","up","down","down","up","down"
"ZNF276","up","down","down","up","down"
"ECEL1","up","up","down","down","up"
"MANBAL","down","down","down","down","down"
"C10orf54","up","down","up","down","down"
"SPATA1","up","down","down","up","down"
"XG","down","down","down","up","down"
"PRDX1","up","up","up","down","down"
"PRL","down","down","up","down","up"
"GLT1D1","up","down","up","down","down"
"TEFM","up","up","down","up","down"
"HLF","down","up","down","down","up"
"TBC1D26","up",NA,NA,NA,NA
"ROR1","up","up","up","down","up"
"DDX39A","up","down","down","down","down"
"SMG7-AS1","up","down","down","down","down"
"GUCD1","up","down","up","down","down"
"MYO5B","down","up","up","up","down"
"EXOC3L1","up","down","down","down","down"
"KCNK12","up","up","up","down","down"
"POU4F3","up","down","up","down","down"
"BTBD10","down","down","down","up","up"
"NTF3","up","down","up","down","down"
"MYBPC2","up","up","down","down","down"
"APBB3","down",NA,NA,NA,NA
"DCST1","up","down","up","up","down"
"CYP2C19","down","up","up","down","down"
"RHBDD3","up","down","down","down","down"
"SLC22A6","up","down","down","down","down"
"SLC35B2","up",NA,NA,NA,NA
"MOCOS","up","down","up","up","down"
"NACA","down","up","up","up","up"
"GRIK5","up","down","down","down","down"
"WFDC3","up","up","up","down","up"
"BMF","up","up","down","down","up"
"RRBP1","up","down","down","down","down"
"TRAPPC10","down","up","up","up","up"
"STT3B","up","up","up","up","up"
"TRIO","down","down","down","down","down"
"SPACA1","up","down","down","up","up"
"RPS23","up","up","up","up","up"
"MAGED1","down","down","up","down","up"
"CHEK1","down","down","up","up","down"
"ALPP","up","down","up","down","up"
"NCOR2","up","down","down","down","up"
"EGLN2","up","up","down","down","up"
"KLB","down","up","down","down","down"
"TRIM74","up",NA,NA,NA,NA
"PYDC1","up","down","down","down","down"
"NKAP","up","up","up","up","up"
"CFAP44","up",NA,NA,NA,NA
"GRID2","up","up","down","up","down"
"GJC3","up",NA,NA,NA,NA
"KRT85","up","down","down","down","down"
"GLRA2","down","down","down","down","up"
"PLEKHA4","down","down","down","down","down"
"IFNE","up","down","up","up","down"
"HOXC-AS3","up","down","down","down","down"
"PMEPA1","up","down","down","up","up"
"MPHOSPH6","up","down","down","down","down"
"LINC01197","up","up","down","up","down"
"LINC00470","up","down","down","down","down"
"FAM20B","down","up","up","down","up"
"PEX5","down","down","up","up","down"
"DEGS1","down","up","down","down","up"
"MET","down","down","up","up","down"
"PPFIA3","down","down","down","up","down"
"PDCL3","up",NA,NA,NA,NA
"FAM178B","down","down","down","up","up"
"C16orf95","down","down","down","up","down"
"CHST4","up","down","down","down","down"
"PRR14L","down","down","up","up","up"
"DHRSX","down","down","up","up","up"
"STK32C","down","up","up","down","down"
"DGKZ","up","down","down","up","down"
"ZBED9","up","up","up","up","down"
"EIF5A2","down","down","up","down","up"
"SERPINB4","down","up","up","down","up"
"MEX3A","up","up","down","up","down"
"LOC100131756","up","down","down","down","down"
"CXCL3","up","down","up","down","down"
"FGF14","down","down","down","down","up"
"GAL3ST1","up","up","up","down","up"
"LINC01578","up",NA,NA,NA,NA
"SEMA4C","down","down","down","down","up"
"RRAS2","down","up","up","up","down"
"SLC17A7","up","down","up","down","up"
"PPP3CC","down","down","up","down","down"
"PNKD","up","down","down","up","down"
"SLC22A14","up","down","down","down","up"
"BLOC1S2","up","up","up","down","up"
"CCDC14","down","up","down","down","down"
"ST6GALNAC3","up","up","up","down","up"
"SRRD","down","up","up","up","up"
"TMEM119","down","down","down","down","up"
"TTF1","up","up","up","down","up"
"CDK2","up","down","down","up","down"
"TMC6","up","down","down","down","down"
"NVL","up","up","down","up","up"
"IL36G","up","down","down","down","down"
"CLDN17","up","down","up","down","down"
"TLX3","up","down","down","down","up"
"TM4SF19","up",NA,NA,NA,NA
"TOM1","up","down","down","down","up"
"ARID1B","up","down","up","up","up"
"FOXK1","down","down","down","up","down"
"GPR68","down","up","down","down","down"
"MED12","down","down","down","up","up"
"SCMH1","up","down","down","down","up"
"BCL2L1","up","down","down","up","down"
"ZDHHC13","down","up","down","up","down"
"TNFRSF10B","down","down","up","up","up"
"KDM4D","up","down","up","down","down"
"SLC47A1","down","up","down","down","down"
"EMP3","up","down","down","down","up"
"NF1","down","up","up","up","down"
"NDUFA8","down","up","down","up","down"
"MLLT3","down","up","up","down","down"
"PHBP19","down",NA,NA,NA,NA
"PKN3","up","down","up","up","up"
"MS4A1","down","down","up","down","down"
"COG5","down","up","up","down","down"
"BATF2","down","down","down","down","down"
"RPL6","up","up","up","up","up"
"ACADVL","up","up","down","down","up"
"THBS2","up","up","down","down","up"
"TPGS2","up","down","up","up","down"
"EPPIN-WFDC6","up",NA,NA,NA,NA
"CABP2","up","down","down","up","down"
"TMEM50A","up","down","down","down","down"
"OSBPL5","up","down","down","down","down"
"WDR27","down","down","down","down","down"
"ICA1","up","down","down","up","down"
"FADS6","down",NA,NA,NA,NA
"GRIN2A","up","down","up","up","down"
"C1orf168","up","up","up","up","down"
"KCNK13","down","down","up","down","down"
"SENCR","up","down","up","down","down"
"SPATA12","down","down","up","up","down"
"MPZ","down","down","down","down","down"
"USP28","up","down","up","up","down"
"LOC105375800","up",NA,NA,NA,NA
"TAF8","up","up","down","up","down"
"LRGUK","up","up","up","down","down"
"HLA-DMB","down","up","up","down","down"
"IGLV1-44","up","up","up","down","down"
"TNFRSF10A","down","down","up","up","up"
"ITGA7","down","down","down","down","up"
"KCNF1","up","down","down","down","down"
"SMG7","down","down","down","up","up"
"NEIL1","up",NA,NA,NA,NA
"SYT11","up","down","up","down","up"
"TM4SF5","up","down","down","up","up"
"NUTM2A-AS1","down","up","up","up","up"
"TNRC6C-AS1","down","up","down","up","down"
"PTPN6","up","down","down","down","down"
"KIR3DX1","up","down","up","up","down"
"ARL1","down","up","up","up","up"
"FAM225B","up",NA,NA,NA,NA
"MNS1","down","up","up","up","up"
"PARP14","up","up","down","down","down"
"ZCCHC4","up","up","up","up","down"
"SLC44A5","up","up","up","up","up"
"CCNG1","down","up","down","up","up"
"CYP3A5","up","up","up","up","down"
"TBCA","down","up","up","up","up"
"LOC100652999","down","down","down","up","down"
"MGC16275","down","up","down","down","up"
"HMG20B","up","down","down","down","down"
"PEF1","up","down","down","down","down"
"EPHA6","up","down","down","down","down"
"PLB1","down","down","down","down","down"
"KCNN1","up","down","down","up","down"
"POLE4","up","up","down","up","down"
"ASPHD2","up","down","up","down","down"
"OBSCN","up","down","down","up","down"
"CCDC68","up","up","up","up","down"
"DTHD1","up","down","up","down","down"
"MAGEC1","up","up","down","up","down"
"LSM11","up","up","up","up","down"
"SEC14L4","up","up","down","down","up"
"CISH","up","down","down","up","down"
"RPS29","up","up","up","up","up"
"CYBRD1","down","up","up","down","up"
"PHF11","down","down","down","up","up"
"LOC399851","down",NA,NA,NA,NA
"ZBTB38","down","down","down","up","up"
"FAM114A1","up","up","up","down","up"
"AGPS","down","up","up","up","up"
"PARD6A","down","down","down","down","down"
"SERPINA10","down","up","down","up","up"
"CSE1L","up","up","down","up","up"
"C9orf153","up",NA,NA,NA,NA
"MYO15B","down","up","down","up","up"
"TACR3","up","up","down","down","down"
"LOC284454","up",NA,NA,NA,NA
"LOC100996579","down","up","up","up","down"
"BYSL","up","up","down","up","down"
"RAB4B","up","down","down","up","up"
"KPNA5","down","up","up","up","up"
"NR1I3","down","down","down","down","down"
"MFAP1","down","up","up","up","down"
"SEL1L","up","up","up","down","up"
"SEC14L3","up","down","down","down","down"
"MGC70870","down","down","up","up","down"
"CST9L","up","down","down","up","down"
"MRPS5","up","up","up","up","down"
"TOR3A","down","down","down","down","down"
"C5orf47","up","down","up","down","up"
"DGCR14","up","down","down","down","down"
"FAM222B","up","down","up","up","down"
"DRAIC","down",NA,NA,NA,NA
"CD83","up","down","down","down","down"
"KAAG1","up","up","down","up","down"
"PNKP","up","down","down","down","down"
"RTP3","up","up","down","down","down"
"UTRN","down","down","up","up","up"
"FAM63B","up","up","up","down","up"
"PTTG1","down","down","up","up","down"
"RNF215","up","down","down","down","down"
"RNF152","down","down","down","up","down"
"IGHMBP2","up","down","up","down","up"
"CRYGD","down","down","down","up","down"
"TMPRSS11A","down",NA,NA,NA,NA
"PPP1R10","down","down","up","down","down"
"PTGDR","down","down","up","up","down"
"GTF3A","up","down","up","down","up"
"SIPA1L2","down","down","up","down","down"
"PLCD1","up","down","down","down","down"
"ANKRD18B","down","down","down","up","up"
"ADGRG5","up",NA,NA,NA,NA
"GABPB1","up","up","up","up","up"
"FGF3","up","up","down","down","up"
"STH","up","down","up","down","down"
"PLEKHB2","up","down","up","down","down"
"METTL25","up","up","up","up","up"
"WNT6","down","down","down","down","down"
"FOXO4","down","down","down","down","up"
"HSPC102","up",NA,NA,NA,NA
"BPIFC","up","down","down","up","up"
"MYB","up","down","down","up","down"
"NLRC5","up","down","down","down","down"
"BRD9","up","down","up","down","down"
"DAW1","down","up","down","down","up"
"NUCKS1","up","down","down","up","up"
"ZNF70","down","down","down","down","down"
"RNF128","down","up","up","up","up"
"KANSL2","down","up","up","up","down"
"ZFPM2","up","up","down","down","up"
"SRC","down","down","down","down","down"
"B4GALT4","up","up","up","up","down"
"SPCS1","up","down","up","up","down"
"VOPP1","down","down","up","down","down"
"BICDL2","up",NA,NA,NA,NA
"MS4A7","up","up","up","down","down"
"ORMDL2","up","down","up","down","down"
"SFTA3","up","up","up","up","down"
"NCOA7","up","down","down","up","up"
"RAB20","up","down","down","up","down"
"SPON2","up",NA,NA,NA,NA
"AXDND1","up","down","down","up","down"
"AAR2","down","up","down","down","down"
"ITPRIPL1","down","down","up","up","down"
"CLTA","up","down","down","down","down"
"CEP250","down","down","down","down","down"
"PIGL","up","up","down","up","down"
"LINC00528","up","down","up","down","down"
"RPL34-AS1","up","down","down","up","up"
"MEX3D","up","down","down","up","down"
"DERA","down","down","up","up","down"
"ZNF780A","down","up","up","up","down"
"MUC13","down","down","up","up","down"
"DDN","down","down","down","up","down"
"HTRA1","up","down","up","down","up"
"B4GALT1","down","down","down","up","up"
"UGCG","down","down","down","down","up"
"CALM3","up",NA,NA,NA,NA
"POMT1","up","up","down","down","down"
"C10orf82","up","down","up","up","up"
"TREX1","up",NA,NA,NA,NA
"ECH1","up","up","down","down","down"
"PIGO","up","down","down","up","down"
"MED13","down","up","up","up","up"
"CCKBR","down","down","down","up","down"
"ZNF429","down","down","down","down","down"
"ZNF426","down","up","down","down","down"
"ACOT8","up","down","down","up","down"
"RAB28","down","up","up","down","up"
"LOC100507388","up","down","up","down","down"
"CBX3","up","down","up","up","down"
"ARL2","up","down","down","down","up"
"GSDMA","up",NA,NA,NA,NA
"CLN6","down","down","down","up","down"
"ALG13","down","up","up","up","up"
"PPP1R32","up","down","down","down","down"
"MOP-1","down","up","down","up","up"
"CCDC40","down","up","down","down","down"
"HSPB9","up","down","down","down","down"
"MMP19","down","down","down","down","up"
"SIGLECL1","up","down","down","down","up"
"LOC100268168","down","down","up","up","down"
"DNAJC12","down","up","up","up","down"
"C20orf144","up","down","up","down","up"
"CDH23","up",NA,NA,NA,NA
"SEPT9","up","down","up","down","up"
"CCL13","up","up","up","down","down"
"VGLL3","up","up","up","down","up"
"LYZL4","up","up","down","up","down"
"GSN-AS1","up","down","down","up","down"
"PDE6A","up","down","down","up","down"
"ZNF425","down","down","down","up","down"
"CRIM1","down","up","down","down","up"
"TAS2R14","up","down","up","down","up"
"MAD2L2","up","down","up","down","up"
"ERC2-IT1","down","up","down","down","down"
"LINGO2","up","down","down","down","down"
"MCMDC2","down","up","up","up","up"
"ZC3H7B","down","down","down","down","up"
"PCDHGA2","down",NA,NA,NA,NA
"IRS2","up","down","down","up","up"
"MS4A12","up","up","down","up","down"
"IPPK","down","down","down","up","down"
"HLA-DQB1","up","down","up","down","down"
"COX6A1","up","up","down","up","down"
"MYOD1","up","down","down","up","down"
"TSPYL1","up","up","up","up","up"
"CLDN3","up","down","down","up","down"
