"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset"
-0.116788301443713,0.0907144640904534,-0.520414930835778,0.603736936993508,0.999892187031336,-4.68666021834238,"A_23_P319050","down","NS","GSE104645"
0.183443132219776,0.65796114260596,0.520379740864374,0.603761383650608,0.999892187031336,-4.68666416528622,"A_23_P251051","up","NS","GSE104645"
-0.103664838516983,0.00820552699843371,-0.520360243584811,0.603774928706556,0.999892187031336,-4.68666635200741,"A_24_P200603","down","NS","GSE104645"
0.173106928624757,-0.130051009394275,0.520281123774362,0.603829895858245,0.999892187031336,-4.68667522487116,"A_23_P138835","up","NS","GSE104645"
0.0822908439755225,0.0478666311491111,0.520237090837556,0.603860487983266,0.999892187031336,-4.68668016234995,"A_32_P201041","up","NS","GSE104645"
0.111306678618738,-0.153687399328248,0.52016940231157,0.603907516333935,0.999892187031336,-4.6866877515568,"A_23_P406782","up","NS","GSE104645"
0.0690697635150416,-0.0543135489078628,0.520113511893577,0.603946348900237,0.999892187031336,-4.68669401722681,"A_32_P98423","up","NS","GSE104645"
-0.127041852561781,0.00763757439157333,-0.52009106040656,0.603961948474558,0.999892187031336,-4.68669653399277,"A_32_P215856","down","NS","GSE104645"
-0.0690580469686173,-0.143642614039079,-0.520089276201686,0.603963188170308,0.999892187031336,-4.68669673399387,"A_23_P301803","down","NS","GSE104645"
0.0905521451607482,0.0203677253822931,0.520007333762324,0.604020124411418,0.999892187031336,-4.68670591862865,"A_24_P180383","up","NS","GSE104645"
-0.0724603804900692,-0.0381892638879317,-0.520004085643475,0.60402238135911,0.999892187031336,-4.68670628266909,"A_32_P44762","down","NS","GSE104645"
0.0879177958105609,-0.171696626800689,0.519985924747377,0.604035000485438,0.999892187031336,-4.686708318052,"A_32_P231033","up","NS","GSE104645"
0.0870389754179435,-0.164724228937763,0.519963860661709,0.604050331910301,0.999892187031336,-4.68671079079011,"A_32_P224253","up","NS","GSE104645"
-0.13891395122169,0.226085292232947,-0.519949747278298,0.604060138812257,0.999892187031336,-4.68671237243266,"A_24_P927222","down","NS","GSE104645"
