"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval"
"205000_at","grey",0,-0.0537051586528735,0.408517448950929,0.152010375640286,0.018703734491221,0.0842636964614306,0.194230493669281,0.0591483015366528,0.362604278392217,-0.0164233985475755,0.800588548159282,0.0615145300734648,0.343688301424769
"229659_s_at","grey",0,-0.0439306834580193,0.49909292115543,-0.351912675503023,2.24715483140338e-08,-0.201643398454674,0.00172891112437958,-0.152206023941208,0.0185503459049174,0.237366750934611,0.000212703543799319,0.0632644090095762,0.330110001293819
"218963_s_at","grey",0,0.0754451699882021,0.245277788307369,-0.00545526056198012,0.933140113012739,-0.0704142106962532,0.278268826208322,-0.262515393144156,3.96662311841968e-05,-0.266520212608739,2.98699544604443e-05,0.426925766746078,5.2541704092992e-12
"214974_x_at","grey",0,-0.0401633845037685,0.536637990327367,0.338772506336889,7.89759707822988e-08,-0.0115835973204839,0.858608958512016,0.273440470743338,1.81011908092083e-05,0.0691938936481482,0.28670362664342,-0.168205640538056,0.00917798626579106
"1555745_a_at","grey",0,0.0511374413438509,0.431319360872242,0.0647386428625449,0.31894225302469,-0.0495193101208441,0.446057618004961,0.25596307754102,6.24809514915949e-05,0.143606853891638,0.0264195877748197,-0.23784023306735,0.000206411993514457
"202286_s_at","grey",0,0.0717166990030509,0.269452988841749,0.219683350115615,0.000625534461747504,0.0710577344661746,0.273889074289473,0.121017389686366,0.0617696230246712,-0.106737815040377,0.0997264161305387,-0.108176126840067,0.0952176546809661
"242601_at","grey",0,-0.0738252396245848,0.255588893756978,-0.366147546433488,5.38862309922019e-09,-0.130970160832218,0.0430880224157715,-0.157335368687449,0.0149009684838559,0.212214344610532,0.000962601346938678,-0.131153297290867,0.0427946148752479
"203649_s_at","grey",0,-0.0558680604035045,0.389875660883696,-0.0193870749069735,0.765570677097117,0.122489162170405,0.0586464092051156,0.193674233799644,0.00263878074946978,0.317337449846016,5.43452141653724e-07,-0.322343868066318,3.50947354212645e-07
"211848_s_at","grey",0,-0.00583227655169007,0.928531291792604,-0.292760885594174,4.15435891807478e-06,-0.103370505535567,0.110944132512633,-0.121510902816679,0.0607074492807682,0.274131456950624,1.72052203037125e-05,0.0646625198075224,0.319512818661179
"227736_at","grey",0,0.00618336978495593,0.92424150047213,-0.425618918598508,6.19227329894361e-12,-0.244291404464405,0.000136286235576394,-0.403470965667464,9.0230278352417e-11,-0.00514583730141633,0.936924320445888,0.358852719524428,1.13002376121624e-08
"224589_at","grey",0,0.0978187524812034,0.131572072612881,-0.0772091549965812,0.23438356092858,-0.0236066680373019,0.716539525851759,-0.0276292109149757,0.670851978418864,0.0476349489585322,0.463574415328809,0.119755690096849,0.0645547773668565
"205950_s_at","grey",0,-0.00969355424469983,0.881493236177176,-0.229737206459851,0.000342219674956428,0.0387343543970887,0.551240152189925,-0.0454009090409546,0.484826083188198,0.263582503143153,3.67950400882521e-05,-0.0648365301716109,0.318209532317234
"204475_at","grey",0,-0.0225300844966309,0.72894852932005,0.348684444436865,3.07660837189418e-08,0.0162167208247635,0.803046403737076,0.296531853980114,3.07719714234188e-06,0.0333384080553645,0.608063414650875,-0.153982434170149,0.0172069635044968
"202409_at","grey",0,0.0472479195694052,0.467218752248516,0.411308644725672,3.57540161186861e-11,0.246289108993754,0.000119572332288989,0.10318473499448,0.111590700553313,-0.111266606005657,0.0860787191518247,-0.00129733790226925,0.984082289662955
"204409_s_at","grey",0,-0.0522153176737948,0.42165954151142,0.0564828838962424,0.384671889021158,0.0219995131489028,0.735090335717006,0.0390400009630936,0.548100732549789,-0.00352575827587282,0.956758849104617,0.0430375269813259,0.507866973517915
