"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"A_24_P595717",0.108461676128281,-0.023681014711152,0.610007753019029,0.543014531292657,0.999892187031336,-4.6757542742034,"A_24_P595717","up","NS","GSE104645","FAM179A"
"A_23_P63153",-0.133777170346817,0.143479500668956,-0.609982277087361,0.543031350803096,0.999892187031336,-4.67575761852458,"A_23_P63153","down","NS","GSE104645","DDX20"
"A_24_P275428",0.135716158146772,-0.28056501950574,0.609927406456919,0.543067577932589,0.999892187031336,-4.67576482112912,"A_24_P275428","up","NS","GSE104645","FAIM2"
"A_23_P140342",0.108277593319118,-0.0020131833119195,0.609859223200856,0.543112596129175,0.999892187031336,-4.67577377032536,"A_23_P140342","up","NS","GSE104645","FSCB"
"A_23_P205567",-0.157125645080188,0.0708859194962801,-0.609702264677186,0.54321623561071,0.999892187031336,-4.67579436770251,"A_23_P205567","down","NS","GSE104645","PRKCH"
"A_24_P92558",-0.0881524437914847,-0.0972229798825672,-0.609533535979922,0.543327658040542,0.999892187031336,-4.67581650381018,"A_24_P92558","down","NS","GSE104645","ZNF674"
"A_23_P123039",-0.119358124740886,0.123006491006821,-0.609408090846101,0.543410505011061,0.999892187031336,-4.67583295746895,"A_23_P123039","down","NS","GSE104645","NUPL2"
"A_32_P99753",0.0939089926457366,-0.151045720872298,0.6093596133034,0.543442522446871,0.999892187031336,-4.67583931499252,"A_32_P99753","up","NS","GSE104645","EFCAB12"
"A_23_P105794",0.0727363826485721,0.0021797783137129,0.60934563044721,0.543451757728618,0.999892187031336,-4.67584114866288,"A_23_P105794","up","NS","GSE104645","EPSTI1"
"A_24_P361427",0.113095820870799,-0.0887940408305819,0.609286624735083,0.543490730206787,0.999892187031336,-4.67584888603891,"A_24_P361427","up","NS","GSE104645","TBC1D29"
"A_23_P356021",-0.136704151885235,-0.0701183489557522,-0.609076435528817,0.543629568791004,0.999892187031336,-4.67587644197521,"A_23_P356021","down","NS","GSE104645","FANCB"
"A_24_P123190",-0.0838594953322562,-0.122542025227535,-0.609061102273163,0.543639697734065,0.999892187031336,-4.67587845180661,"A_24_P123190","down","NS","GSE104645","PLD1"
"A_23_P208835",0.139426791272575,-0.0966941681076122,0.609050804687476,0.543646500234451,0.999892187031336,-4.67587980155133,"A_23_P208835","up","NS","GSE104645","MAP2K2"
"A_23_P113553",0.130433634635482,-0.0750774779673819,0.609043474458116,0.543651342549789,0.999892187031336,-4.67588076233932,"A_23_P113553","up","NS","GSE104645","MAGEA11"
"A_32_P123255",-0.0884799963469702,-0.0295860241426658,-0.609042817372864,0.543651776618305,0.999892187031336,-4.67588084846424,"A_32_P123255","down","NS","GSE104645","SOWAHD"
"A_23_P2129",-0.101925627046936,-0.073376808342799,-0.608970456843344,0.54369957883204,0.999892187031336,-4.67589033228146,"A_23_P2129","down","NS","GSE104645","TMEM126B"
