"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval","HubScore"
"228776_at","turquoise",1,0.147173143377218,0.0228628248149325,0.796338649015868,1.15516158177535e-53,0.705066288613611,3.07427019598563e-37,0.433167857631929,2.37391712596627e-12,0.0483812307704442,0.456591925673998,-0.194338346572144,0.00254896341592445,0.117199662168432
"226084_at","turquoise",1,0.143667784469161,0.0263550442661795,0.813798013579073,8.68155009803013e-58,0.747514460897058,5.38212103578849e-44,0.46451647996155,3.40344332575922e-14,0.1140267728856,0.0785245841043069,-0.153033494207182,0.017913640830372,0.11691655761631
"212233_at","turquoise",1,0.135977093792892,0.0356496236963969,0.85799827931485,1.61671643217633e-70,0.788919645764013,4.95517686192355e-52,0.531903289517034,7.3869765327514e-19,0.173819379179721,0.00706787080727193,-0.200788084698548,0.00181055910228811,0.116668112500535
"244533_at","turquoise",1,0.176023047626132,0.00636580590572441,0.656801132679181,6.91884603305523e-31,0.498680579281927,1.97722058171212e-16,0.329729145321264,1.81447017816686e-07,-0.0669261337894052,0.302829688069727,-0.196559082733194,0.00226843089243965,0.115612137058485
"213413_at","turquoise",1,0.132733582981679,0.0403318457439911,0.870620276181673,5.75633124940505e-75,0.750485020959868,1.61282695721971e-44,0.510267047109731,3.01537588412163e-17,0.134443335224067,0.0378029062345277,-0.113981247370645,0.0786446821603712,0.115560548674092
"212609_s_at","turquoise",1,0.129173092648754,0.0460578078746327,0.886387008948628,3.13658289746187e-81,0.748810877977625,3.1874895623582e-44,0.544319537218681,7.77413089926072e-20,0.12402711339036,0.055523172172954,-0.128638817536925,0.0469730894452371,0.114497351229573
"238592_at","turquoise",1,0.167522064172975,0.00946978334568876,0.681063739768276,6.30204436254093e-34,0.633216904970076,3.45209550716342e-28,0.392604167248984,3.13100434580167e-10,0.151560858708273,0.0190603390751568,-0.0190969352004631,0.768979194439655,0.114093203519347
"203875_at","turquoise",1,0.162938069337197,0.0116478960278656,0.692436890233611,1.86514939107192e-35,0.565002727599284,1.47556263524454e-21,0.461503812024383,5.21667582151562e-14,0.145418776843524,0.0245572125290795,-0.190694181077693,0.0030782579710471,0.112824330032517
"211640_x_at","yellow",4,-0.133189406430029,0.0396440713318668,0.220349109793335,0.000601534637467545,0.116901742120451,0.0712356556128968,0.52716593675092,1.70241462308668e-18,0.868836105969933,2.61075234200241e-74,-0.327809622801885,2.15746587977672e-07,0.115719765239113
"234792_x_at","yellow",4,-0.135629316905405,0.036128538419185,0.19683209658507,0.0022359562051211,0.150269857850628,0.0201175298475192,0.516912951876107,9.92403755546593e-18,0.78050348534273,2.9449229522702e-50,-0.344128649560371,4.7645613181152e-08,0.105859154559322
"216541_x_at","yellow",4,-0.126886493028864,0.0500823999074561,0.197197612488108,0.00219314121203233,0.080339054398456,0.215901007694252,0.522384541082694,3.90235951433684e-18,0.830969633362095,2.72425725655352e-62,-0.372774925281976,2.7054698416576e-09,0.105438822590797
"211642_at","yellow",4,-0.139596130041749,0.0309773418521855,0.180655159667597,0.00508965009322856,0.126183187317317,0.0513776583413153,0.421279458443229,1.0630879924773e-11,0.6880767587987,7.32999869427681e-35,-0.282580373995029,9.14609566336287e-06,0.0960528526999683
"217360_x_at","yellow",4,-0.106959509956228,0.0990206274807969,0.139569274123123,0.0310099898418918,0.0857424847138076,0.186490966817081,0.506996118820296,5.16478928154639e-17,0.842868229821632,1.0138353526638e-65,-0.307218138412494,1.28417221036253e-06,0.0901527728193948
"219159_s_at","yellow",4,-0.115444627672334,0.0748578682169014,0.197462360893909,0.00216259744451621,0.111981663505306,0.0840678639165578,0.660193546712443,2.70315516680606e-31,0.778407135272804,7.92104054169848e-50,-0.321122402014999,3.90747561572111e-07,0.0898629219090571
