"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"242327_X_AT",0.24225378632999,45.9300063267528,0.0875743112420691,0.930429382080506,0.985061497025283,-5.37622866954837,"242327_x_at","up","NS","GSE28702",NA
"241665_X_AT",0.0553873272182807,4.44463331252722,0.0873329151812371,0.930620657820688,0.985114609735406,-5.37624558397734,"241665_x_at","up","NS","GSE28702",NA
"1566543_AT",0.0904991264010723,19.2651464015097,0.0872119255813903,0.930716528258733,0.985114609735406,-5.37625404406122,"1566543_at","up","NS","GSE28702",NA
"231296_AT",-0.683424888053954,79.906941874002,-0.0871629151371425,0.930755363729128,0.985117110383802,-5.37625746773337,"231296_at","down","NS","GSE28702",NA
"242109_AT",0.17407650483467,29.7261777427783,0.0867577516743331,0.931076418327008,0.985282736989358,-5.37628569711905,"242109_at","up","NS","GSE28702",NA
"232344_AT",1.24017455032675,133.815999413558,0.0864501947266706,0.931320136412038,0.985377754779289,-5.37630703806733,"232344_at","up","NS","GSE28702",NA
"237893_AT",0.0565289851391621,8.2548718652925,0.0864332691117434,0.931333549008033,0.985377754779289,-5.3763082103125,"237893_at","up","NS","GSE28702",NA
"240742_AT",-0.174612128444089,20.6199339715488,-0.0862109634225555,0.931509715580796,0.985377754779289,-5.37632358560278,"240742_at","down","NS","GSE28702",NA
"236617_AT",-0.562229918839122,31.4718906568442,-0.0861740142141947,0.931538996383759,0.985377754779289,-5.37632613727785,"236617_at","down","NS","GSE28702",NA
"243360_AT",-0.128618148062633,16.4174898562926,-0.0860906033546572,0.931605096575589,0.985403533667447,-5.37633189352672,"243360_at","down","NS","GSE28702",NA
"1559990_AT",-0.0416469824244712,3.96980731964001,-0.0859348190618388,0.931728551470785,0.985467437574952,-5.37634262939848,"1559990_at","down","NS","GSE28702",NA
"234781_AT",0.103974837468342,18.186011930614,0.08592339094925,0.931737608010966,0.985467437574952,-5.37634341620128,"234781_at","up","NS","GSE28702",NA
"1566868_AT",-0.113916066915748,22.0458330788213,-0.0854715188971002,0.93209571436238,0.985680805016503,-5.37637444284249,"1566868_at","down","NS","GSE28702",NA
"1561564_AT",-0.0354812604774498,2.22977805922485,-0.0852777999422289,0.93224923996104,0.985680805016503,-5.37638769396942,"1561564_at","down","NS","GSE28702",NA
"236125_AT",-1.01216530323384,113.660221995936,-0.0852615662101534,0.932262105589163,0.985680805016503,-5.37638880305447,"236125_at","down","NS","GSE28702",NA
"236187_S_AT",0.0617345503267422,10.3075371244012,0.0851971161104462,0.932313184040973,0.985694847380597,-5.37639320418852,"236187_s_at","up","NS","GSE28702",NA
"1566437_AT",-0.0632943859059923,8.9780821679489,-0.085017130905558,0.932455828699449,0.985741411352799,-5.3764054773013,"1566437_at","down","NS","GSE28702",NA
"215006_AT",1.76999729111566,161.00632952533,0.0847030084999623,0.932704787136774,0.985801917850896,-5.37642683500585,"215006_at","up","NS","GSE28702",NA
"238351_X_AT",-0.11504768201727,18.9478673871389,-0.0844188979176567,0.932929965409389,0.985836248570638,-5.37644608408158,"238351_x_at","down","NS","GSE28702",NA
"239705_AT",0.110538724584751,15.6115133430106,0.0840711402608695,0.933205596050168,0.985859290329953,-5.37646955736691,"239705_at","up","NS","GSE28702",NA
"239088_AT",0.0674784556343867,13.8512167615038,0.0838821831018908,0.933355365787437,0.985859290329953,-5.3764822711615,"239088_at","up","NS","GSE28702",NA
"1557413_A_AT",-0.0544125263772861,4.51070619465815,-0.083806497149951,0.933415356065672,0.985859290329953,-5.37648735559305,"1557413_a_at","down","NS","GSE28702",NA
"222050_AT",-0.562161476743206,55.4436974589926,-0.0836482330518447,0.933540800764627,0.985892959144321,-5.37649797263013,"222050_at","down","NS","GSE28702",NA
"1565002_AT",0.167593084393319,29.0171754536217,0.0833045778804228,0.933813197570656,0.986022336368784,-5.37652095741248,"1565002_at","up","NS","GSE28702",NA
"241676_X_AT",0.0795191170605774,4.19906125489911,0.0830481745093416,0.934016439752533,0.986108424320133,-5.3765380448846,"241676_x_at","up","NS","GSE28702",NA
"1557842_AT",-0.164913660285742,19.9451110117579,-0.0828005044765213,0.934212763475251,0.986108424320133,-5.37655450033771,"1557842_at","down","NS","GSE28702",NA
"239908_AT",-0.230447761988719,36.2837524422993,-0.08272326689591,0.934273989194723,0.986108424320133,-5.37655962203108,"239908_at","down","NS","GSE28702",NA
"232834_AT",0.373037513258607,55.2802092850922,0.0826951021511715,0.934296315300194,0.986108424320133,-5.37656148847158,"232834_at","up","NS","GSE28702",NA
"1561762_S_AT",0.292401689965436,23.6516100029032,0.0825734175542143,0.934392774906062,0.986108424320133,-5.37656954504595,"1561762_s_at","up","NS","GSE28702",NA
"1569238_A_AT",1.38690638820088,86.8344372405284,0.082566633393704,0.934398152751575,0.986108424320133,-5.37656999386705,"1569238_a_at","up","NS","GSE28702",NA
"1566044_AT",-0.0512935998348786,13.1995481586587,-0.0824355781077862,0.934502041676024,0.98617505878874,-5.3765786568832,"1566044_at","down","NS","GSE28702",NA
"230175_S_AT",-2.93082598624462,150.964855100885,-0.0823508936856438,0.934569172525966,0.98617505878874,-5.376584247375,"230175_s_at","down","NS","GSE28702",NA
"239341_AT",-0.114952472888068,13.00887413703,-0.0822036948488504,0.934685860793374,0.986220028539846,-5.37659395112119,"239341_at","down","NS","GSE28702",NA
"216805_AT",-0.18779413126373,11.1870311678037,-0.0821534477016699,0.934725693314166,0.986243024410969,-5.37659725957556,"216805_at","down","NS","GSE28702",NA
"232261_AT",0.0468128947847136,5.01924686311511,0.0820365864372668,0.934818333619884,0.986302703357079,-5.37660494632314,"232261_at","up","NS","GSE28702",NA
"240535_AT",-1.6819766232176,184.147326983597,-0.0818517520960418,0.934964860566893,0.986370893798039,-5.37661708177974,"240535_at","down","NS","GSE28702",NA
"1566156_AT",3.1676083768524,242.803565299753,0.0813200789893278,0.935386355542436,0.986616424671709,-5.37665183664918,"1566156_at","up","NS","GSE28702",NA
"240722_AT",-0.0566749965716524,8.14808508201481,-0.0811998192441076,0.935481696533019,0.986647934583284,-5.37665966649019,"240722_at","down","NS","GSE28702",NA
"242058_AT",0.367680328421701,39.3691786877631,0.0810469384273254,0.935602900615645,0.9866735189731,-5.37666960349011,"242058_at","up","NS","GSE28702",NA
"237935_AT",0.0259254394581812,0.922536789084047,0.0809386640880431,0.935688741552651,0.986687919620267,-5.37667662981713,"237935_at","up","NS","GSE28702",NA
"208324_AT",-0.312086753319902,26.9609379104369,-0.0808550022460301,0.935755069986752,0.986738832237718,-5.3766820525154,"208324_at","down","NS","GSE28702",NA
"1561738_AT",0.0571310449463354,7.70438540717085,0.0806044991959602,0.935953675488262,0.986872125724548,-5.37669825580892,"1561738_at","up","NS","GSE28702",NA
"239496_AT",0.323281247078905,31.8607168065031,0.0800654477687714,0.936381063590256,0.986979564031969,-5.37673295280946,"239496_at","up","NS","GSE28702",NA
"242995_AT",0.727456472650173,90.5597199012919,0.0800224918608109,0.93641512208059,0.986979564031969,-5.3767357077289,"242995_at","up","NS","GSE28702",NA
"1567705_AT",0.0780529789891264,7.54925957395848,0.0799723400188375,0.93645488616769,0.986979564031969,-5.37673892227955,"1567705_at","up","NS","GSE28702",NA
"217181_AT",-0.0223636461525545,0.805314188561475,-0.0799664503758113,0.936459555922585,0.986979564031969,-5.37673929965204,"217181_at","down","NS","GSE28702",NA
"220882_AT",-0.0495405330380762,3.97529005080563,-0.0799424351318073,0.936478597049266,0.986979564031969,-5.3767408381151,"220882_at","down","NS","GSE28702",NA
"241641_AT",0.157489628059276,15.2251907112789,0.0796708002281031,0.936693972600496,0.986983698476902,-5.3767582074065,"241641_at","up","NS","GSE28702",NA
"215604_X_AT",14.2443128096358,1556.95312501669,0.0796447105622189,0.936714658983641,0.986983698476902,-5.37675987256031,"215604_x_at","up","NS","GSE28702",NA
"244319_AT",0.0870587166085949,19.6017426506024,0.0792549852528614,0.937023675665687,0.986999307635082,-5.37678468158364,"244319_at","up","NS","GSE28702",NA
"222266_AT",4.32047414704119,533.490379426622,0.0791070444422469,0.937140981789371,0.987039031791602,-5.3767940672977,"222266_at","up","NS","GSE28702",NA
"237126_AT",-0.421359565719322,25.5951898875018,-0.0789501420713869,0.937265395286004,0.987054629194693,-5.37680400239612,"237126_at","down","NS","GSE28702",NA
"216675_AT",0.105382297062813,18.8949579648715,0.0787009294068914,0.937463008118377,0.987067727017466,-5.37681974206753,"216675_at","up","NS","GSE28702",NA
"217255_AT",-0.0399320199613791,3.77837401509653,-0.0785750162147193,0.937562852299842,0.987067727017466,-5.37682767552241,"217255_at","down","NS","GSE28702",NA
"238988_AT",-1.28593018128262,137.434241393526,-0.0784300403735117,0.937677813646318,0.987067727017466,-5.37683679433373,"238988_at","down","NS","GSE28702",NA
"1561631_AT",-0.338272496886503,31.257699165336,-0.0781489125715936,0.937900743043848,0.987067727017466,-5.37685442896361,"1561631_at","down","NS","GSE28702",NA
"1561829_AT",-0.156413196689197,31.0140748265351,-0.0781052788306506,0.937935344277097,0.987067727017466,-5.37685716035198,"1561829_at","down","NS","GSE28702",NA
"233628_AT",0.0713038155059271,13.0252809108724,0.0780179147843304,0.938004623677142,0.987067727017466,-5.37686262458942,"233628_at","up","NS","GSE28702",NA
