"Gene","Priority"
"LMOD1","Tier2_DEG_WGCNA"
"PRR16","Tier2_DEG_WGCNA"
"TTC7B","Tier2_DEG_WGCNA"
"DES","Tier2_DEG_WGCNA"
"CYS1","Tier2_DEG_WGCNA"
"SPARC","Tier2_DEG_WGCNA"
"HOXB2","Tier2_DEG_WGCNA"
"SPG20","Tier2_DEG_WGCNA"
"TPST1","Tier2_DEG_WGCNA"
"HTRA1","Tier2_DEG_WGCNA"
"SYNC","Tier2_DEG_WGCNA"
"DNM3OS","Tier2_DEG_WGCNA"
"TCEAL3","Tier2_DEG_WGCNA"
"RCAN2","Tier2_DEG_WGCNA"
"LTBP1","Tier2_DEG_WGCNA"
"CMTM3","Tier2_DEG_WGCNA"
"EVL","Tier2_DEG_WGCNA"
"SRPX","Tier2_DEG_WGCNA"
"COL6A1","Tier2_DEG_WGCNA"
"MYOCD","Tier2_DEG_WGCNA"
"CCL2","Tier2_DEG_WGCNA"
"PPP1R14A","Tier2_DEG_WGCNA"
"FLNA","Tier2_DEG_WGCNA"
"PDPN","Tier2_DEG_WGCNA"
"FKBP7","Tier2_DEG_WGCNA"
"PLEKHO1","Tier2_DEG_WGCNA"
"MGP","Tier2_DEG_WGCNA"
"TGFB1I1","Tier2_DEG_WGCNA"
"GBP5","Tier2_DEG_WGCNA"
"GLIPR2","Tier2_DEG_WGCNA"
"HEG1","Tier2_DEG_WGCNA"
"SERPINF1","Tier2_DEG_WGCNA"
"THBS4","Tier2_DEG_WGCNA"
"RERG","Tier2_DEG_WGCNA"
"SPARCL1","Tier2_DEG_WGCNA"
"ATP2B4","Tier2_DEG_WGCNA"
"EMP3","Tier2_DEG_WGCNA"
"ARL4C","Tier2_DEG_WGCNA"
"DACT1","Tier2_DEG_WGCNA"
"TMEM200B","Tier2_DEG_WGCNA"
"SMTN","Tier2_DEG_WGCNA"
"PGM5","Tier2_DEG_WGCNA"
"RBPMS2","Tier2_DEG_WGCNA"
"FAM20C","Tier2_DEG_WGCNA"
"ARMCX2","Tier2_DEG_WGCNA"
"MAB21L2","Tier2_DEG_WGCNA"
"SDC2","Tier2_DEG_WGCNA"
"TMEM140","Tier2_DEG_WGCNA"
"TACR2","Tier2_DEG_WGCNA"
"NDN","Tier2_DEG_WGCNA"
"MPDZ","Tier2_DEG_WGCNA"
"KCNMB1","Tier2_DEG_WGCNA"
"CALU","Tier2_DEG_WGCNA"
"PBX3","Tier2_DEG_WGCNA"
"MMP2","Tier2_DEG_WGCNA"
"VEGFC","Tier2_DEG_WGCNA"
"FBXO32","Tier2_DEG_WGCNA"
"BNIP2","Tier2_DEG_WGCNA"
"FNBP1","Tier2_DEG_WGCNA"
"JAZF1","Tier2_DEG_WGCNA"
"CFH","Tier2_DEG_WGCNA"
"ARMCX1","Tier2_DEG_WGCNA"
"GNB4","Tier2_DEG_WGCNA"
"MCAM","Tier2_DEG_WGCNA"
"GIMAP6","Tier2_DEG_WGCNA"
"AEBP1","Tier2_DEG_WGCNA"
"TFPI","Tier2_DEG_WGCNA"
"SCRG1","Tier2_DEG_WGCNA"
"RCN3","Tier2_DEG_WGCNA"
"FSTL1","Tier2_DEG_WGCNA"
"COX7A1","Tier2_DEG_WGCNA"
"LGALS1","Tier2_DEG_WGCNA"
"PRELP","Tier2_DEG_WGCNA"
"COL1A2","Tier2_DEG_WGCNA"
"WIPF1","Tier2_DEG_WGCNA"
"TSPAN2","Tier2_DEG_WGCNA"
"GREM1","Tier2_DEG_WGCNA"
"A2M","Tier2_DEG_WGCNA"
"NFATC1","Tier2_DEG_WGCNA"
"MSN","Tier2_DEG_WGCNA"
"PDGFC","Tier2_DEG_WGCNA"
"PDLIM7","Tier2_DEG_WGCNA"
"SLFN11","Tier2_DEG_WGCNA"
"PRKCDBP","Tier2_DEG_WGCNA"
"PALLD","Tier2_DEG_WGCNA"
"HLA-DQB1","Tier2_DEG_WGCNA"
"THBS1","Tier2_DEG_WGCNA"
"ADAMTS1","Tier2_DEG_WGCNA"
"CDH11","Tier2_DEG_WGCNA"
"LRRC15","Tier2_DEG_WGCNA"
"C3","Tier2_DEG_WGCNA"
"DTNA","Tier2_DEG_WGCNA"
"LBH","Tier2_DEG_WGCNA"
"LOXL1","Tier2_DEG_WGCNA"
"POPDC2","Tier2_DEG_WGCNA"
"IKBIP","Tier2_DEG_WGCNA"
"EFEMP2","Tier2_DEG_WGCNA"
"C1QC","Tier2_DEG_WGCNA"
"FNDC1","Tier2_DEG_WGCNA"
"CDH19","Tier2_DEG_WGCNA"
"CHRDL2","Tier2_DEG_WGCNA"
"HLA-DRA","Tier2_DEG_WGCNA"
"LIX1L","Tier2_DEG_WGCNA"
"ELN","Tier2_DEG_WGCNA"
"LUM","Tier2_DEG_WGCNA"
"DIXDC1","Tier2_DEG_WGCNA"
"SELM","Tier2_DEG_WGCNA"
"BCHE","Tier2_DEG_WGCNA"
"C7","Tier2_DEG_WGCNA"
"LAMB2","Tier2_DEG_WGCNA"
"DENND5A","Tier2_DEG_WGCNA"
"RASSF2","Tier2_DEG_WGCNA"
"KIAA1462","Tier2_DEG_WGCNA"
"ADAMTS2","Tier2_DEG_WGCNA"
"ATP1A2","Tier2_DEG_WGCNA"
"CTSC","Tier2_DEG_WGCNA"
"KCNE4","Tier2_DEG_WGCNA"
"LILRB2","Tier2_DEG_WGCNA"
"MS4A6A","Tier2_DEG_WGCNA"
"CLIP4","Tier2_DEG_WGCNA"
"PRIMA1","Tier2_DEG_WGCNA"
"FAM101B","Tier2_DEG_WGCNA"
"IL10RA","Tier2_DEG_WGCNA"
"PRKCB","Tier2_DEG_WGCNA"
"PRICKLE2","Tier2_DEG_WGCNA"
"IGFBP6","Tier2_DEG_WGCNA"
"AKR1B1","Tier2_DEG_WGCNA"
"NCKAP1L","Tier2_DEG_WGCNA"
"COL8A1","Tier2_DEG_WGCNA"
"RTN1","Tier2_DEG_WGCNA"
"CDH5","Tier2_DEG_WGCNA"
"CTSK","Tier2_DEG_WGCNA"
"PAPLN","Tier2_DEG_WGCNA"
"STC1","Tier2_DEG_WGCNA"
"RORA","Tier2_DEG_WGCNA"
"MYO5A","Tier2_DEG_WGCNA"
"EMCN","Tier2_DEG_WGCNA"
"ITGA4","Tier2_DEG_WGCNA"
"CCDC88A","Tier2_DEG_WGCNA"
"P2RY13","Tier2_DEG_WGCNA"
"ALDH1L2","Tier2_DEG_WGCNA"
"ADAM19","Tier2_DEG_WGCNA"
"TBCEL","Tier2_DEG_WGCNA"
"SGTB","Tier2_DEG_WGCNA"
"PCDH17","Tier2_DEG_WGCNA"
"IGHD","Tier2_DEG_WGCNA"
"COL13A1","Tier2_DEG_WGCNA"
"IGSF6","Tier2_DEG_WGCNA"
"LCP2","Tier2_DEG_WGCNA"
"THBD","Tier2_DEG_WGCNA"
"CD300LF","Tier2_DEG_WGCNA"
"EDIL3","Tier2_DEG_WGCNA"
"ABCC2","Tier3_DEG_Metabolism"
"MTRR","Tier3_DEG_Metabolism"
"CDH2","Tier3_DEG_Metabolism"
"ATP7B","Tier3_DEG_Metabolism"
"ATP7A","Tier3_DEG_Metabolism"
"ERCC1","Tier3_DEG_Metabolism"
"TK1","Tier3_DEG_Metabolism"
"DHFR","Tier3_DEG_Metabolism"
"MTR","Tier3_DEG_Metabolism"
"CTLA4","Tier3_DEG_Metabolism"
"SLC19A1","Tier3_DEG_Metabolism"
"UMPS","Tier3_DEG_Metabolism"
"MTHFR","Tier3_DEG_Metabolism"
"RRM2","Tier3_DEG_Metabolism"
"AXIN2","Tier3_DEG_Metabolism"
"CDH1","Tier3_DEG_Metabolism"
"TYMS","Tier3_DEG_Metabolism"
"CES2","Tier3_DEG_Metabolism"
"ABCC3","Tier3_DEG_Metabolism"
"AAK1","Tier4_MultiDataset_DEG"
"ABCA1","Tier4_MultiDataset_DEG"
"ABCA2","Tier4_MultiDataset_DEG"
"ABCB11","Tier4_MultiDataset_DEG"
"ABCC11","Tier4_MultiDataset_DEG"
"ABCC9","Tier4_MultiDataset_DEG"
"ABHD11","Tier4_MultiDataset_DEG"
"ABI2","Tier4_MultiDataset_DEG"
"ABLIM1","Tier4_MultiDataset_DEG"
"ABTB1","Tier4_MultiDataset_DEG"
"AC007255.8 /// BC038570","Tier4_MultiDataset_DEG"
