Gene,HR,HR_lower,HR_upper,p_value,HALLMARK,KEGG,Category,BH_FDR
CDKN1C,1.212385730284449,0.615369209047372,2.3886134330198554,0.5777741290848897,True,False,HALLMARK-only,0.9915506217574394
CDKN2B,1.111678097414962,0.6161032667521781,2.005878330733231,0.7251581009213159,False,True,KEGG-only,0.9915506217574394
CHRD,1.1324945385854888,0.5413695718286592,2.369072712368618,0.741093794864714,False,True,KEGG-only,0.9915506217574394
COMP,1.3643862912173683,0.6751779581277404,2.75712488722816,0.38668259547195494,False,True,KEGG-only,0.9915506217574394
CREBBP,1.154950196385494,0.5352534147433188,2.4921091942413276,0.7135244810998591,False,True,KEGG-only,0.9915506217574394
CTNNB1,1.6825707135337338,0.8045924361685777,3.5186065376436866,0.16686592608551068,True,False,HALLMARK-only,0.9915506217574394
CUL1,0.8227080876985134,0.41616332473311707,1.6264013605682426,0.5746377876589238,False,True,KEGG-only,0.9915506217574394
DCN,1.2593406914604128,0.5640759182083525,2.8115700847597487,0.5736310188257504,False,True,KEGG-only,0.9915506217574394
E2F4,1.1941487736006098,0.5385529267194639,2.64782015423834,0.6623126125811297,False,True,KEGG-only,0.9915506217574394
E2F5,0.8868766994014978,0.4385747216923657,1.7934236540267667,0.7382749419082474,False,True,KEGG-only,0.9915506217574394
ENG,1.1455383839173916,0.6068239562193581,2.1625022802390927,0.675123392455683,True,False,HALLMARK-only,0.9915506217574394
EP300,1.225121030268523,0.5682234318089353,2.6414284501222234,0.6044753142158972,False,True,KEGG-only,0.9915506217574394
FNTA,0.5532154575873108,0.27885819629401676,1.0975016929065045,0.09030715961916573,True,False,HALLMARK-only,0.9915506217574394
FST,0.9569443879026338,0.4838159294850744,1.8927499194021407,0.8993595226070935,False,True,KEGG-only,0.9915506217574394
FURIN,0.6739912336848931,0.24910127273917473,1.823612453235951,0.4372252911586365,True,False,HALLMARK-only,0.9915506217574394
GDF5,0.6834046722818514,0.30791716560573434,1.5167778814081385,0.34936114907889027,False,True,KEGG-only,0.9915506217574394
GDF7,0.9219515765862119,0.44870316632082313,1.8943363304952805,0.8249597201212382,False,True,KEGG-only,0.9915506217574394
HDAC1,1.199039681483481,0.5647964633913002,2.545511969284319,0.6365022134141551,True,False,HALLMARK-only,0.9915506217574394
HIPK2,1.4700894411905916,0.6358425793686912,3.3988962602124246,0.36754594709261956,True,False,HALLMARK-only,0.9915506217574394
ID1,0.9988980882063451,0.4559699974582804,2.188296151466821,0.9978014683376766,True,True,Shared,0.9978014683376766
ID2,0.797961879017315,0.387192136636257,1.6445146998504896,0.5407285775125927,True,True,Shared,0.9915506217574394
ID3,1.2588227577338305,0.5843375003450909,2.711848434257209,0.5566408416509993,True,True,Shared,0.9915506217574394
ID4,1.6989326050575309,0.8531842884376581,3.383058075076677,0.13151693025489697,False,True,KEGG-only,0.9915506217574394
IFNG,0.770281118964671,0.3275470750477211,1.811443445639139,0.5496947385463256,False,True,KEGG-only,0.9915506217574394
