Gene,logFC,p_value,mean_resistant,mean_sensitive,direction,HALLMARK,KEGG,Shared,Category,BH_FDR
CUL1,0.012234484452406491,0.6314229571327244,6.918227794667597,6.905993310215191,Up_in_Resistant,False,True,False,KEGG-only,0.7875813228752262
CREBBP,0.0002993626134468741,0.6446170064995742,5.902256584967877,5.90195722235443,Up_in_Resistant,False,True,False,KEGG-only,0.7954848165313895
ID2,0.0015784226882544772,0.6677783910805841,8.92764457305028,8.926066150362026,Up_in_Resistant,True,True,True,Shared,0.8153925617405027
ROCK1,0.006487216324944534,0.6936658102241905,5.819429902760894,5.8129426864359495,Up_in_Resistant,False,True,False,KEGG-only,0.830738056391817
TNF,-0.005322303947246532,0.6946688919828125,4.075007200698323,4.08032950464557,Up_in_Sensitive,False,True,False,KEGG-only,0.830738056391817
E2F4,-0.005502503378891355,0.7109923085096658,7.450267563698324,7.455770067077215,Up_in_Sensitive,False,True,False,KEGG-only,0.840681604943278
PPM1A,-0.017332399926362818,0.7174782662877977,6.145109776988827,6.16244217691519,Up_in_Sensitive,True,False,False,HALLMARK-only,0.840681604943278
PPP2CB,-0.01662300011487261,0.7329635154381521,6.913677058854748,6.93030005896962,Up_in_Sensitive,False,True,False,KEGG-only,0.8502376779082564
INHBE,0.004510297282568132,0.7481464809259513,2.8255114051787706,2.8210011078962025,Up_in_Resistant,False,True,False,KEGG-only,0.8592573444298054
PPP1CA,-0.022973934420127406,0.7867307147989003,10.052939892541898,10.075913826962026,Up_in_Sensitive,True,False,False,HALLMARK-only,0.8947133619281612
ZFYVE9,-0.009171297619793073,0.8169718273966232,5.265841946734637,5.27501324435443,Up_in_Sensitive,False,True,False,KEGG-only,0.9142333144644856
BMP7,-0.04554757679371413,0.8249997824905229,5.825142737736034,5.870690314529748,Up_in_Sensitive,False,True,False,KEGG-only,0.9142333144644856
ACVR2B,3.311525749705169e-05,0.8275387760238878,5.083718061703911,5.0836849464464136,Up_in_Resistant,False,True,False,KEGG-only,0.9142333144644856
MAP3K7,0.012322571292489926,0.8589932996392747,6.854590912527933,6.842268341235443,Up_in_Resistant,True,False,False,HALLMARK-only,0.9323556052966777
CDK9,0.006268443909870136,0.8662529763338356,4.545262031443204,4.538993587533334,Up_in_Resistant,True,False,False,HALLMARK-only,0.9323556052966777
BMP6,0.004629747381605043,0.8760927670460161,4.173191061722533,4.168561314340928,Up_in_Resistant,False,True,False,KEGG-only,0.9323556052966777
SMAD1,-0.002089623866194934,0.8760927670460161,6.915145170266294,6.917234794132489,Up_in_Sensitive,True,True,True,Shared,0.9323556052966777
ARID4B,-0.002169504634697894,0.8941095284401268,5.724938213800746,5.727107718435444,Up_in_Sensitive,True,False,False,HALLMARK-only,0.9428791390823156
HIPK2,-0.0013646131047710952,0.9100271455442582,5.69694833286257,5.698312945967341,Up_in_Sensitive,True,False,False,HALLMARK-only,0.9444878640270711
SKIL,0.0017364337164158528,0.9169220232745501,5.37436909285363,5.372632659137214,Up_in_Resistant,True,False,False,HALLMARK-only,0.9444878640270711
RHOA,0.0009821760166985882,0.922528740667828,8.514629845052141,8.513647669035443,Up_in_Resistant,True,True,True,Shared,0.9444878640270711
ACVRL1,-0.005048530056763312,0.9359136342512293,6.851392348231846,6.856440878288609,Up_in_Sensitive,False,True,False,KEGG-only,0.9444878640270711
SLC20A1,-0.015373033455038154,0.9363457272682171,8.02611558996648,8.041488623421518,Up_in_Sensitive,True,False,False,HALLMARK-only,0.9444878640270711
SMAD5,4.1155059712139064e-05,0.981795309356095,6.729148184821231,6.7291070297615185,Up_in_Resistant,False,True,False,KEGG-only,0.981795309356095
